t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786461163.160134,0.0000,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.270307,0.1102,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.377159,0.1069,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.472407,0.0952,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.568098,0.0957,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.669179,0.1011,-0.0,-0.0,-0.0000,0.0000,-1.3004,-2.9773,-10.7585,,enc,
1786461163.769737,0.1006,0.18183636665344238,0.18183636665344238,0.0011,0.0000,-1.3005,-2.9772,-10.7585,,enc,
1786461163.869514,0.0998,27.36455535888672,22.77318572998047,0.1470,-0.0780,-1.3038,-2.9629,-10.7663,,enc,
1786461163.970571,0.1011,29.275653839111328,24.547908782958984,0.1578,-0.0804,-1.3073,-2.9473,-10.7744,,enc,
1786461164.070937,0.1004,29.017446517944336,24.793386459350586,0.1578,-0.0718,-1.3107,-2.9318,-10.7816,,enc,
1786461164.170878,0.0999,31.588611602783203,27.91551971435547,0.1745,-0.0624,-1.3143,-2.9148,-10.7878,,enc,
1786461164.271230,0.1004,31.588611602783203,28.282827377319336,0.1756,-0.0562,-1.3178,-2.8975,-10.7935,,enc,
1786461164.480898,0.2097,31.404958724975586,28.282827377319336,0.1750,-0.0531,-1.3248,-2.8615,-10.8046,,enc,
1786461164.546249,0.0654,31.275854110717773,28.00279998779297,0.1738,-0.0556,-1.3269,-2.8503,-10.8082,,enc,
1786461164.594122,0.0479,30.853992462158203,26.62993621826172,0.1686,-0.0718,-1.3283,-2.8424,-10.8117,,enc,
1786461164.671518,0.0774,29.935720443725586,24.05876922607422,0.1583,-0.0999,-1.3305,-2.8303,-10.8194,,enc,
1786461164.772070,0.1006,29.752065658569336,24.24242401123047,0.1583,-0.0937,-1.3331,-2.8146,-10.8288,,enc,
1786461164.873383,0.1013,29.457490921020508,24.18423843383789,0.1573,-0.0896,-1.3356,-2.7989,-10.8379,,enc,
1786461164.972483,0.0991,29.752065658569336,24.05876922607422,0.1578,-0.0968,-1.3379,-2.7834,-10.8475,,enc,
1786461165.073639,0.1012,29.384756088256836,24.05876922607422,0.1567,-0.0905,-1.3401,-2.7677,-10.8567,,enc,
1786461165.174208,0.1006,30.003000259399414,25.45709228515625,0.1626,-0.0773,-1.3423,-2.7515,-10.8644,,enc,
1786461165.275041,0.1008,31.275854110717773,27.639127731323242,0.1727,-0.0618,-1.3444,-2.7342,-10.8707,,enc,
1786461165.376905,0.1019,31.094018936157227,27.457292556762695,0.1717,-0.0618,-1.3465,-2.7169,-10.8770,,enc,
1786461165.499962,0.1231,31.149282455444336,27.36815643310547,0.1716,-0.0643,-1.3489,-2.6959,-10.8849,,enc,
1786461165.587780,0.0878,31.037647247314453,27.548208236694336,0.1718,-0.0593,-1.3504,-2.6809,-10.8901,,enc,
1786461165.684020,0.0962,31.639528274536133,29.275653839111328,0.1786,-0.0402,-1.3522,-2.6638,-10.8939,,enc,
1786461165.780194,0.0962,32.00320053100586,29.093820571899414,0.1791,-0.0495,-1.3539,-2.6466,-10.8987,,enc,
1786461165.880255,0.1001,31.955923080444336,29.201101303100586,0.1793,-0.0468,-1.3555,-2.6288,-10.9034,,enc,
1786461165.980139,0.0999,32.13957595825195,29.568410873413086,0.1809,-0.0437,-1.3571,-2.6108,-10.9077,,enc,
1786461166.081430,0.1013,32.3232307434082,29.935720443725586,0.1826,-0.0406,-1.3586,-2.5923,-10.9119,,enc,
1786461166.180559,0.0991,32.3232307434082,29.752065658569336,0.1820,-0.0437,-1.3601,-2.5744,-10.9162,,enc,
1786461166.281228,0.1007,32.00320053100586,30.003000259399414,0.1818,-0.0340,-1.3615,-2.5561,-10.9196,,enc,
1786461166.390254,0.1090,32.00320053100586,29.639328002929688,0.1807,-0.0402,-1.3629,-2.5365,-10.9240,,enc,
1786461166.513318,0.1231,32.185035705566406,29.821165084838867,0.1818,-0.0402,-1.3644,-2.5141,-10.9289,,enc,
1786461166.657748,0.1444,32.185035705566406,30.184837341308594,0.1829,-0.0340,-1.3660,-2.4878,-10.9338,,enc,
1786461166.720895,0.0631,32.185035705566406,30.184837341308594,0.1829,-0.0340,-1.3667,-2.4762,-10.9360,,enc,
1786461166.796590,0.0757,32.13957595825195,30.119375228881836,0.1826,-0.0343,-1.3675,-2.4624,-10.9386,,enc,
1786461166.887995,0.0914,32.00320053100586,30.003000259399414,0.1818,-0.0340,-1.3684,-2.4459,-10.9417,,enc,
1786461166.990238,0.1022,32.00320053100586,30.184837341308594,0.1823,-0.0309,-1.3693,-2.4272,-10.9449,,enc,
1786461167.092014,0.1018,32.185035705566406,30.366674423217773,0.1834,-0.0309,-1.3702,-2.4086,-10.9480,,enc,
1786461167.187758,0.0957,31.955923080444336,30.303028106689453,0.1826,-0.0281,-1.3710,-2.3911,-10.9507,,enc,
1786461167.287729,0.1000,31.772266387939453,30.119375228881836,0.1815,-0.0281,-1.3717,-2.3730,-10.9535,,enc,
1786461167.389981,0.1023,31.821365356445312,30.184837341308594,0.1818,-0.0278,-1.3725,-2.3544,-10.9563,,enc,
1786461167.492659,0.1027,32.00320053100586,30.366674423217773,0.1829,-0.0278,-1.3731,-2.3357,-10.9592,,enc,
1786461167.590734,0.0981,31.821365356445312,30.184837341308594,0.1818,-0.0278,-1.3737,-2.3178,-10.9619,,enc,
1786461167.717766,0.1270,31.689441680908203,30.068960189819336,0.1811,-0.0275,-1.3744,-2.2948,-10.9654,,enc,
1786461167.806550,0.0888,31.772266387939453,30.119375228881836,0.1815,-0.0281,-1.3749,-2.2787,-10.9679,,enc,
1786461167.900969,0.0944,31.639528274536133,30.003000259399414,0.1807,-0.0278,-1.3753,-2.2617,-10.9706,,enc,
1786461168.011089,0.1101,31.639528274536133,29.639328002929688,0.1797,-0.0340,-1.3757,-2.2419,-10.9743,,enc,
1786461168.096059,0.0850,30.912181854248047,26.184436798095703,0.1674,-0.0804,-1.3759,-2.2277,-10.9811,,enc,
1786461168.197006,0.1009,30.54850959777832,26.184436798095703,0.1663,-0.0742,-1.3761,-2.2109,-10.9886,,enc,
1786461168.296867,0.0999,30.486684799194336,26.078969955444336,0.1659,-0.0749,-1.3760,-2.1943,-10.9961,,enc,
1786461168.408381,0.1115,29.568410873413086,22.58953094482422,0.1529,-0.1186,-1.3758,-2.1773,-11.0093,,enc,
1786461168.501234,0.0929,29.275653839111328,22.002201080322266,0.1504,-0.1236,-1.3755,-2.1633,-11.0208,,enc,
1786461168.599967,0.0987,29.168691635131836,21.9665470123291,0.1499,-0.1224,-1.3749,-2.1485,-11.0329,,enc,
1786461168.777229,0.1773,29.275653839111328,21.820363998413086,0.1498,-0.1267,-1.3733,-2.1220,-11.0554,,enc,
1786461168.827593,0.0504,29.017446517944336,21.85491180419922,0.1492,-0.1217,-1.3728,-2.1145,-11.0615,,enc,
1786461168.907415,0.0798,28.833791732788086,21.30394744873047,0.1470,-0.1280,-1.3719,-2.1028,-11.0717,,enc,
1786461169.002054,0.0946,29.384756088256836,19.10009002685547,0.1422,-0.1748,-1.3707,-2.0894,-11.0882,,enc,
1786461169.100771,0.0987,29.017446517944336,18.7327823638916,0.1400,-0.1748,-1.3692,-2.0757,-11.1055,,enc,
1786461169.200802,0.1000,25.528005599975586,16.34527015686035,0.1228,-0.1561,-1.3676,-2.0635,-11.1211,,enc,
1786461169.301348,0.1005,0.5509641766548157,0.5509641766548157,0.0032,0.0000,-1.3676,-2.0632,-11.1211,,enc,
1786461169.402068,0.1007,-0.0,-0.0,-0.0000,0.0000,-1.3676,-2.0632,-11.1211,,enc,
1786461169.504380,0.1023,-0.0,-0.0,-0.0000,0.0000,-1.3676,-2.0632,-11.1211,,enc,
1786461169.603976,0.0996,-0.0,-0.0,-0.0000,0.0000,-1.3676,-2.0632,-11.1211,,enc,
1786461169.705482,0.1015,21.12029457092285,-0.0,0.0619,-0.3590,-1.3666,-2.0570,-11.1576,,enc,
1786461169.805859,0.1004,28.911983489990234,-0.0,0.0848,-0.4914,-1.3648,-2.0486,-11.2069,,enc,
1786461169.935940,0.1301,27.82096290588379,-0.0,0.0816,-0.4729,-1.3619,-2.0384,-11.2684,,enc,
1786461170.017978,0.0820,27.728261947631836,-0.0,0.0813,-0.4713,-1.3599,-2.0321,-11.3071,,enc,
1786461170.129466,0.1115,27.275455474853516,-0.0,0.0800,-0.4636,-1.3567,-2.0237,-11.3588,,enc,
1786461170.210895,0.0814,27.457292556762695,-0.0,0.0805,-0.4667,-1.3542,-2.0177,-11.3968,,enc,
1786461170.312669,0.1018,28.628530502319336,-0.0,0.0839,-0.4866,-1.3504,-2.0100,-11.4463,,enc,
1786461170.427352,0.1147,29.017446517944336,-0.0,0.0851,-0.4932,-1.3457,-2.0015,-11.5029,,enc,
1786461170.515645,0.0883,29.017446517944336,-0.0,0.0851,-0.4932,-1.3418,-1.9951,-11.5464,,enc,
1786461170.613593,0.0979,9.18273639678955,-0.0,0.0269,-0.1561,-1.3404,-1.9929,-11.5617,,enc,
1786461170.715571,0.1020,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461170.813121,0.0975,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461170.914457,0.1013,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.031543,0.1171,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.124542,0.0930,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.216958,0.0924,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.317791,0.1008,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.419016,0.1012,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.520010,0.1010,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.621862,0.1019,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.724296,0.1024,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.823845,0.0995,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461171.924591,0.1007,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.071191,0.1466,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.137447,0.0663,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.240878,0.1034,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.330501,0.0896,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.428960,0.0985,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.530042,0.1011,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.629842,0.0998,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.729740,0.0999,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.829699,0.1000,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461172.933030,0.1033,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461173.033265,0.1002,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461173.164663,0.1314,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461173.243333,0.0787,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461173.346393,0.1031,-0.0,-0.0,-0.0000,0.0000,-1.3404,-1.9929,-11.5617,,enc,
1786461173.434462,0.0881,10.8356294631958,-9.917354583740234,0.0027,-0.3528,-1.3402,-1.9927,-11.5928,,enc,
1786461173.537763,0.1033,41.18858337402344,-38.513999938964844,0.0078,-1.3548,-1.3397,-1.9921,-11.7327,,enc,
1786461173.637854,0.1001,39.48576736450195,-37.0982551574707,0.0070,-1.3018,-1.3391,-1.9916,-11.8630,,enc,
1786461173.739217,0.1014,39.09482192993164,-36.7309455871582,0.0069,-1.2889,-1.3386,-1.9912,-11.9937,,enc,
1786461173.838816,0.0996,39.11845779418945,-36.54729080200195,0.0075,-1.2862,-1.3379,-1.9909,-12.1218,,enc,
1786461173.974678,0.1359,39.3021125793457,-36.7309455871582,0.0075,-1.2924,-1.3369,-1.9906,-12.2973,,enc,
1786461174.101382,0.1267,38.91298294067383,-36.91278076171875,0.0059,-1.2889,-1.3361,-1.9906,-12.4607,,enc,
1786461174.212543,0.1112,39.048919677734375,-37.087554931640625,0.0058,-1.2942,-1.3355,-1.9906,-12.6045,,enc,
1786461174.270223,0.0577,38.9348030090332,-36.54729080200195,0.0070,-1.2830,-1.3351,-1.9906,-12.6785,,enc,
1786461174.352648,0.0824,30.119375228881836,-29.017446517944336,0.0032,-1.0052,-1.3348,-1.9907,-12.7614,,enc,
1786461174.470031,0.1174,0.18365472555160522,-0.36730945110321045,-0.0005,-0.0094,-1.3349,-1.9907,-12.7625,,enc,
1786461174.548858,0.0788,-0.0,-0.0,-0.0000,0.0000,-1.3349,-1.9907,-12.7625,,enc,
