t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786459987.882718,0.0000,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459987.957428,0.0747,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.040031,0.0826,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.151206,0.1112,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.233287,0.0821,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.334616,0.1013,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.434393,0.0998,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.535367,0.1010,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.636628,0.1013,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.737010,0.1004,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.877422,0.1404,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459988.964716,0.0873,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.069066,0.1043,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.154092,0.0850,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.250258,0.0962,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.342422,0.0922,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.450832,0.1084,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.542548,0.0917,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.644043,0.1015,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.743903,0.0999,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.844647,0.1007,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459989.974970,0.1303,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.067987,0.0930,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.171507,0.1035,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.268111,0.0966,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.358458,0.0903,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.467243,0.1088,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.550716,0.0835,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.662541,0.1118,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.760299,0.0978,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.857516,0.0972,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459990.976871,0.1194,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.122741,0.1459,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.189964,0.0672,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.302998,0.1130,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.392536,0.0895,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.483930,0.0914,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.632026,0.1481,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.764531,0.1325,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.812469,0.0479,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.867969,0.0555,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459991.958765,0.0908,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.060169,0.1014,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.201427,0.1413,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.288920,0.0875,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.402831,0.1139,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.492456,0.0896,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.568793,0.0763,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.671745,0.1030,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.765529,0.0938,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.865776,0.1002,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459992.966964,0.1012,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
