t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786626392.436433,0.0000,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.436510,0.0001,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.456922,0.0204,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.696161,0.2392,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.706351,0.0102,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.767636,0.0613,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626392.857671,0.0900,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626393.115452,0.2578,-0.0,-0.0,-0.0000,0.0000,9.3193,-0.7468,-7.2728,,enc,
1786626393.115514,0.0001,-1.8183637857437134,0.5455090999603271,-0.0037,0.0402,9.3193,-0.7468,-7.2728,,enc,
1786626393.190649,0.0751,-24.609731674194336,23.14049530029297,-0.0043,0.8117,9.3191,-0.7465,-7.2118,,enc,
1786626393.362817,0.1722,-23.456892013549805,22.002201080322266,-0.0043,0.7727,9.3186,-0.7460,-7.0788,,enc,
1786626393.362896,0.0001,-22.58953094482422,21.48760223388672,-0.0032,0.7492,9.3186,-0.7460,-7.0787,,enc,
1786626393.472971,0.1101,-22.50670623779297,21.42638397216797,-0.0032,0.7468,9.3184,-0.7458,-6.9965,,enc,
1786626393.678477,0.2055,-22.58953094482422,21.30394744873047,-0.0038,0.7461,9.3177,-0.7453,-6.8432,,enc,
1786626393.678533,0.0001,-22.365873336791992,21.093017578125,-0.0037,0.7387,9.3177,-0.7453,-6.8432,,enc,
1786626393.750104,0.0716,-22.22222137451172,21.12029457092285,-0.0032,0.7367,9.3175,-0.7452,-6.7904,,enc,
1786626393.852711,0.1026,-22.184038162231445,21.093017578125,-0.0032,0.7356,9.3172,-0.7451,-6.7150,,enc,
1786626393.964132,0.1114,-22.03856658935547,21.12029457092285,-0.0027,0.7336,9.3169,-0.7450,-6.6332,,enc,
1786626394.067477,0.1033,-22.002201080322266,20.911184310913086,-0.0032,0.7294,9.3166,-0.7449,-6.5578,,enc,
1786626394.206963,0.1395,-21.638526916503906,20.365673065185547,-0.0037,0.7140,9.3161,-0.7448,-6.4582,,enc,
1786626394.267001,0.0600,-21.45669174194336,20.729347229003906,-0.0021,0.7171,9.3160,-0.7448,-6.4152,,enc,
1786626394.354929,0.0879,-21.30394744873047,20.2020206451416,-0.0032,0.7055,9.3157,-0.7448,-6.3532,,enc,
1786626394.544759,0.1898,-21.45669174194336,19.82016372680664,-0.0048,0.7016,9.3148,-0.7448,-6.2200,,enc,
1786626394.560344,0.0156,-20.9366397857666,20.01836395263672,-0.0027,0.6962,9.3147,-0.7448,-6.2091,,enc,
1786626394.665368,0.1050,-21.093017578125,19.456491470336914,-0.0048,0.6893,9.3142,-0.7449,-6.1367,,enc,
1786626394.760278,0.0949,-20.9366397857666,19.83470916748047,-0.0032,0.6930,9.3139,-0.7450,-6.0710,,enc,
1786626394.863556,0.1033,-20.547510147094727,19.456491470336914,-0.0032,0.6800,9.3136,-0.7451,-6.0007,,enc,
1786626394.964864,0.1013,-20.56932830810547,19.4674015045166,-0.0032,0.6805,9.3133,-0.7452,-5.9318,,enc,
1786626395.060650,0.0958,-20.365673065185547,19.274654388427734,-0.0032,0.6738,9.3130,-0.7453,-5.8672,,enc,
1786626395.168624,0.1080,-20.38567543029785,19.65105628967285,-0.0022,0.6805,9.3128,-0.7454,-5.7938,,enc,
1786626395.259730,0.0911,-20.00200080871582,19.456491470336914,-0.0016,0.6707,9.3127,-0.7455,-5.7327,,enc,
1786626395.359612,0.0999,-19.83470916748047,18.91643714904785,-0.0027,0.6587,9.3125,-0.7456,-5.6669,,enc,
1786626395.463734,0.1041,-20.2020206451416,19.28374481201172,-0.0027,0.6712,9.3123,-0.7458,-5.5970,,enc,
1786626395.563356,0.0996,-19.82016372680664,18.910982131958008,-0.0027,0.6584,9.3121,-0.7460,-5.5314,,enc,
1786626395.666812,0.1035,-19.456491470336914,18.72914695739746,-0.0021,0.6491,9.3119,-0.7462,-5.4642,,enc,
1786626395.763762,0.0969,-19.28374481201172,18.54912757873535,-0.0022,0.6431,9.3118,-0.7463,-5.4019,,enc,
1786626395.864010,0.1002,-18.54730987548828,18.3654727935791,-0.0005,0.6274,9.3118,-0.7464,-5.3390,,enc,
1786626395.963993,0.1000,-19.456491470336914,18.54730987548828,-0.0027,0.6460,9.3116,-0.7466,-5.2744,,enc,
1786626396.084271,0.1203,-18.9056339263916,18.5455265045166,-0.0011,0.6366,9.3116,-0.7467,-5.1978,,enc,
1786626396.170499,0.0862,-19.10009002685547,18.18181800842285,-0.0027,0.6337,9.3115,-0.7469,-5.1432,,enc,
1786626396.278246,0.1077,-18.72914695739746,17.819963455200195,-0.0027,0.6213,9.3114,-0.7472,-5.0763,,enc,
1786626396.368868,0.0906,-18.910982131958008,18.3654727935791,-0.0016,0.6336,9.3113,-0.7473,-5.0188,,enc,
1786626396.471306,0.1024,-18.54730987548828,17.819963455200195,-0.0021,0.6182,9.3113,-0.7475,-4.9555,,enc,
1786626396.569514,0.0982,-18.54730987548828,17.819963455200195,-0.0021,0.6182,9.3112,-0.7477,-4.8948,,enc,
1786626396.671918,0.1024,-18.1854190826416,18.0053653717041,-0.0005,0.6152,9.3112,-0.7478,-4.8318,,enc,
1786626396.786806,0.1149,-18.3654727935791,17.4652042388916,-0.0026,0.6090,9.3112,-0.7481,-4.7618,,enc,
1786626396.877489,0.0907,-18.183637619018555,17.63812828063965,-0.0016,0.6089,9.3112,-0.7482,-4.7066,,enc,
1786626396.974799,0.0973,-17.81450843811035,17.07988929748535,-0.0022,0.5931,9.3112,-0.7485,-4.6489,,enc,
1786626397.088051,0.1133,-17.81450843811035,17.07988929748535,-0.0022,0.5931,9.3112,-0.7487,-4.5817,,enc,
1786626397.174909,0.0869,-17.819963455200195,17.274456024169922,-0.0016,0.5965,9.3113,-0.7488,-4.5299,,enc,
1786626397.399670,0.2248,-17.81450843811035,17.2635440826416,-0.0016,0.5963,9.3114,-0.7492,-4.3959,,enc,
1786626397.399718,0.0000,-17.63812828063965,16.547109603881836,-0.0032,0.5811,9.3114,-0.7492,-4.3959,,enc,
1786626397.481501,0.0818,-17.63812828063965,16.547109603881836,-0.0032,0.5811,9.3115,-0.7494,-4.3483,,enc,
1786626397.579205,0.0977,-17.092618942260742,16.365272521972656,-0.0021,0.5687,9.3116,-0.7496,-4.2928,,enc,
1786626397.677905,0.0987,-17.6308536529541,16.5289249420166,-0.0032,0.5806,9.3117,-0.7499,-4.2355,,enc,
1786626397.781283,0.1034,-17.092618942260742,16.547109603881836,-0.0016,0.5718,9.3118,-0.7500,-4.1764,,enc,
1786626397.880899,0.0996,-17.44719886779785,16.5289249420166,-0.0027,0.5775,9.3119,-0.7503,-4.1188,,enc,
1786626397.984075,0.1032,-17.1050968170166,16.3848819732666,-0.0021,0.5693,9.3121,-0.7504,-4.0601,,enc,
1786626398.083577,0.0995,-17.092618942260742,16.365272521972656,-0.0021,0.5687,9.3122,-0.7506,-4.0035,,enc,
1786626398.189193,0.1056,-16.9250431060791,15.844720840454102,-0.0032,0.5570,9.3124,-0.7508,-3.9447,,enc,
1786626398.289082,0.0999,-16.910781860351562,16.00160026550293,-0.0027,0.5594,9.3126,-0.7510,-3.8888,,enc,
1786626398.389453,0.1004,-16.547109603881836,16.365272521972656,-0.0005,0.5594,9.3127,-0.7511,-3.8326,,enc,
1786626398.485957,0.0965,-16.71257972717285,15.426996231079102,-0.0038,0.5463,9.3130,-0.7513,-3.7799,,enc,
1786626398.591556,0.1056,-16.5649356842041,16.0247745513916,-0.0016,0.5540,9.3131,-0.7514,-3.7214,,enc,
1786626398.688538,0.0970,-16.34527015686035,15.977961540222168,-0.0011,0.5494,9.3132,-0.7514,-3.6681,,enc,
1786626398.791934,0.1034,24.97704315185547,-24.42607879638672,0.0016,-0.8398,9.3131,-0.7513,-3.7550,,enc,
1786626398.893439,0.1015,35.63992691040039,-33.27605438232422,0.0069,-1.1714,9.3125,-0.7508,-3.8739,,enc,
1786626398.993461,0.1000,0.36367273330688477,-0.18183636665344238,0.0005,-0.0093,9.3125,-0.7508,-3.8748,,enc,
1786626399.100688,0.1072,-0.0,-0.0,-0.0000,0.0000,9.3125,-0.7508,-3.8748,,enc,
1786626399.201052,0.1004,-0.0,-0.0,-0.0000,0.0000,9.3125,-0.7508,-3.8748,,enc,
1786626399.291371,0.0903,-0.0,-0.0,-0.0000,0.0000,9.3125,-0.7508,-3.8748,,enc,
1786626399.403332,0.1120,-0.0,-0.0,-0.0000,0.0000,9.3125,-0.7508,-3.8748,,enc,
1786626399.499850,0.0965,18.3654727935791,-17.819963455200195,0.0016,-0.6151,9.3124,-0.7507,-3.9342,,enc,
1786626399.658525,0.1587,42.54970932006836,-39.822166442871094,0.0080,-1.4002,9.3117,-0.7496,-4.1563,,enc,
1786626399.699225,0.0407,39.85307312011719,-38.38383483886719,0.0043,-1.3299,9.3116,-0.7495,-4.2105,,enc,
1786626399.818058,0.1188,39.7918586730957,-37.8112678527832,0.0058,-1.3191,9.3114,-0.7488,-4.3672,,enc,
1786626399.901762,0.0837,40.00400161743164,-38.00379943847656,0.0059,-1.3260,9.3113,-0.7483,-4.4782,,enc,
