t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786622033.145252,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.183568,0.0383,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.493337,0.3098,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.543347,0.0500,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.748504,0.2052,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.913836,0.1653,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622033.963544,0.0497,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.098277,0.1347,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.253084,0.1548,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.354307,0.1012,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.579979,0.2257,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.658136,0.0782,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.924292,0.2662,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622034.936398,0.0121,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.022115,0.0857,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.136083,0.1140,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.298052,0.1620,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.342987,0.0449,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.648777,0.3058,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.692585,0.0438,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622035.843525,0.1509,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622036.049170,0.2056,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622036.629938,0.5808,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622036.719312,0.0894,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622036.935339,0.2160,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.069613,0.1343,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.172079,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.383643,0.2116,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.543258,0.1596,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.600468,0.0572,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.600517,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.600528,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622037.600536,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786622038.310349,0.7098,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
