t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785244452.348669,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785244452.401449,0.0528,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785244452.522334,0.1209,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785244452.569968,0.0476,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785244452.684710,0.1147,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785244452.840968,0.1563,2.8808584213256836,2.3406972885131836,0.0153,-0.0092,0.0024,-0.0000,-0.0014
1785244452.895450,0.0545,26.64794158935547,23.76708221435547,0.1478,-0.0490,0.0104,-0.0000,-0.0041
1785244452.982213,0.0868,26.184436798095703,23.093217849731445,0.1445,-0.0525,0.0230,-0.0001,-0.0087
1785244453.074890,0.0927,26.46788787841797,23.04686737060547,0.1452,-0.0582,0.0364,-0.0003,-0.0141
1785244453.196467,0.1216,30.068960189819336,24.30724334716797,0.1594,-0.0979,0.0558,-0.0008,-0.0260
1785244453.344250,0.1478,30.068960189819336,24.48729705810547,0.1600,-0.0949,0.0794,-0.0018,-0.0400
1785244453.402787,0.0585,29.568410873413086,24.05876922607422,0.1572,-0.0937,0.0886,-0.0022,-0.0455
1785244453.498383,0.0956,29.708852767944336,24.48729705810547,0.1589,-0.0888,0.1038,-0.0030,-0.0539
1785244453.599041,0.1007,29.457490921020508,24.366071701049805,0.1578,-0.0865,0.1197,-0.0040,-0.0627
1785244453.686514,0.0875,29.708852767944336,24.48729705810547,0.1589,-0.0888,0.1335,-0.0050,-0.0704
1785244453.790040,0.1035,31.329336166381836,24.66735076904297,0.1642,-0.1132,0.1505,-0.0064,-0.0821
1785244453.893840,0.1038,31.149282455444336,24.66735076904297,0.1637,-0.1102,0.1674,-0.0080,-0.0936
1785244454.000879,0.1070,31.149282455444336,24.66735076904297,0.1637,-0.1102,0.1848,-0.0098,-0.1054
1785244454.091255,0.0904,30.969226837158203,24.66735076904297,0.1631,-0.1071,0.1994,-0.0115,-0.1151
1785244454.236181,0.1449,31.689441680908203,25.02745819091797,0.1663,-0.1132,0.2233,-0.0147,-0.1315
1785244454.307793,0.0716,31.869497299194336,24.847402572631836,0.1663,-0.1194,0.2351,-0.0163,-0.1400
1785244454.397599,0.0898,32.00320053100586,25.09341812133789,0.1674,-0.1175,0.2500,-0.0186,-0.1506
1785244454.572637,0.1750,32.518680572509766,25.61056900024414,0.1704,-0.1174,0.2794,-0.0237,-0.1711
1785244454.616722,0.0441,32.22960662841797,24.847402572631836,0.1674,-0.1255,0.2867,-0.0250,-0.1766
1785244454.768335,0.1516,32.13957595825195,25.344350814819336,0.1686,-0.1155,0.3117,-0.0299,-0.1942
1785244454.820237,0.0519,32.22960662841797,25.02745819091797,0.1679,-0.1224,0.3203,-0.0316,-0.2005
1785244454.911932,0.0917,32.0495491027832,24.847402572631836,0.1668,-0.1224,0.3352,-0.0348,-0.2117
1785244455.021166,0.1092,32.0495491027832,25.20751190185547,0.1679,-0.1163,0.3531,-0.0389,-0.2244
1785244455.171363,0.1502,32.22960662841797,25.20751190185547,0.1684,-0.1194,0.3777,-0.0450,-0.2424
1785244455.277772,0.1064,32.22960662841797,25.02745819091797,0.1679,-0.1224,0.3949,-0.0495,-0.2554
1785244455.334974,0.0572,32.0495491027832,24.847402572631836,0.1668,-0.1224,0.4042,-0.0520,-0.2624
1785244455.445669,0.1107,32.22960662841797,25.02745819091797,0.1679,-0.1224,0.4220,-0.0570,-0.2760
1785244455.545141,0.0995,32.3232307434082,24.793386459350586,0.1675,-0.1280,0.4380,-0.0618,-0.2887
1785244455.621890,0.0767,32.0495491027832,25.02745819091797,0.1674,-0.1194,0.4503,-0.0656,-0.2978
1785244455.734746,0.1129,32.0495491027832,24.847402572631836,0.1668,-0.1224,0.4682,-0.0713,-0.3117
1785244455.829175,0.0944,32.0495491027832,24.66735076904297,0.1663,-0.1255,0.4831,-0.0763,-0.3235
1785244455.930850,0.1017,32.0495491027832,24.30724334716797,0.1652,-0.1316,0.4990,-0.0819,-0.3369
1785244456.031427,0.1006,32.0495491027832,24.66735076904297,0.1663,-0.1255,0.5147,-0.0876,-0.3495
