t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786687853.539279,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687853.642463,0.1032,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687853.738982,0.0965,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687853.839214,0.1002,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687853.939931,0.1007,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687854.041704,0.1018,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687854.160834,0.1191,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687854.397238,0.2364,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786687854.407396,0.0102,-0.0,18.001800537109375,0.0528,0.3060,0.0005,0.0000,0.0031,,enc,
1786687854.616353,0.2090,-0.0,24.911582946777344,0.0730,0.4234,0.0157,0.0014,0.0916,,enc,
1786687854.663169,0.0468,-0.0,23.638729095458984,0.0693,0.4018,0.0190,0.0018,0.1104,,enc,
1786687854.663230,0.0001,-0.0,23.456892013549805,0.0688,0.3987,0.0190,0.0018,0.1104,,enc,
1786687854.846505,0.1833,-0.0,25.92772674560547,0.0760,0.4407,0.0326,0.0044,0.1912,,enc,
1786687854.865906,0.0194,-0.0,26.997243881225586,0.0792,0.4589,0.0341,0.0047,0.2001,,enc,
1786687855.089152,0.2232,-0.0,26.54810905456543,0.0778,0.4513,0.0507,0.0099,0.3008,,enc,
1786687855.092720,0.0036,-0.0,26.44628143310547,0.0775,0.4495,0.0510,0.0099,0.3024,,enc,
1786687855.316861,0.2241,-0.0,27.457292556762695,0.0805,0.4667,0.0676,0.0171,0.4071,,enc,
1786687855.457779,0.1409,-0.0,28.833791732788086,0.0845,0.4901,0.0782,0.0225,0.4761,,enc,
1786687855.488077,0.0303,-0.0,29.201101303100586,0.0856,0.4964,0.0805,0.0238,0.4912,,enc,
1786687855.501303,0.0132,-0.0,30.486684799194336,0.0894,0.5182,0.0815,0.0243,0.4980,,enc,
1786687855.693008,0.1917,-0.0,31.869497299194336,0.0934,0.5417,0.0963,0.0345,0.6019,,enc,
1786687855.693987,0.0010,-0.0,31.772266387939453,0.0932,0.5401,0.0963,0.0345,0.6024,,enc,
1786687855.897408,0.2034,-0.0,31.509389877319336,0.0924,0.5356,0.1106,0.0468,0.7113,,enc,
1786687856.121808,0.2244,8.44811725616455,31.588611602783203,0.1174,0.3933,0.1289,0.0657,0.7996,,enc,
1786687856.172722,0.0509,28.911983489990234,32.36687469482422,0.1797,0.0587,0.1353,0.0723,0.8026,,enc,
1786687856.172767,0.0000,27.548208236694336,33.0578498840332,0.1777,0.0937,0.1353,0.0723,0.8026,,enc,
1786687856.206637,0.0339,27.731863021850586,33.24150466918945,0.1788,0.0937,0.1395,0.0766,0.8058,,enc,
1786687856.261333,0.0547,27.188100814819336,32.5897102355957,0.1753,0.0918,0.1461,0.0836,0.8108,,enc,
1786687856.416510,0.1552,29.457490921020508,32.00320053100586,0.1802,0.0433,0.1652,0.1040,0.8175,,enc,
1786687856.507543,0.0910,29.384756088256836,31.955923080444336,0.1799,0.0437,0.1764,0.1160,0.8215,,enc,
1786687856.798885,0.2913,29.384756088256836,32.13957595825195,0.1804,0.0468,0.2116,0.1549,0.8351,,enc,
1786687856.798930,0.0000,29.168691635131836,29.708852767944336,0.1726,0.0092,0.2117,0.1549,0.8351,,enc,
