t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785738201.224671,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.330282,0.1056,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.643297,0.3130,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.643349,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.643360,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.751156,0.1078,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785738201.888977,0.1378,4.182236194610596,3.0912182331085205,0.0213,-0.0185,0.0029,-0.0000,-0.0026
1785738202.154267,0.2653,30.366674423217773,28.00279998779297,0.1711,-0.0402,0.0483,-0.0006,-0.0132
1785738202.157157,0.0029,29.457490921020508,27.09362030029297,0.1658,-0.0402,0.0488,-0.0006,-0.0133
1785738202.316945,0.1598,32.912384033203125,30.184837341308594,0.1850,-0.0464,0.0784,-0.0012,-0.0207
1785738202.346814,0.0299,32.548709869384766,30.184837341308594,0.1839,-0.0402,0.0839,-0.0013,-0.0219
1785738202.411197,0.0644,32.548709869384766,30.184837341308594,0.1839,-0.0402,0.0957,-0.0016,-0.0245
1785738202.413928,0.0027,32.548709869384766,30.184837341308594,0.1839,-0.0402,0.0962,-0.0017,-0.0246
1785738202.512180,0.0983,34.00339889526367,31.821365356445312,0.1930,-0.0371,0.1152,-0.0022,-0.0283
1785738202.614434,0.1023,33.97612380981445,31.772266387939453,0.1928,-0.0375,0.1349,-0.0028,-0.0321
1785738202.715654,0.1012,34.00339889526367,32.00320053100586,0.1935,-0.0340,0.1544,-0.0035,-0.0356
1785738202.817888,0.1022,34.5703010559082,32.7697639465332,0.1975,-0.0306,0.1746,-0.0043,-0.0387
1785738202.926230,0.1083,34.71074295043945,32.50688552856445,0.1971,-0.0375,0.1960,-0.0052,-0.0427
1785738203.421980,0.4958,34.36707305908203,32.73054504394531,0.1967,-0.0278,0.2933,-0.0107,-0.0565
1785738203.425619,0.0036,34.36707305908203,32.36687469482422,0.1957,-0.0340,0.2940,-0.0108,-0.0567
1785738203.580075,0.1545,34.548912048339844,32.73054504394531,0.1973,-0.0309,0.3245,-0.0126,-0.0614
1785738203.776399,0.1963,34.73074722290039,32.73054504394531,0.1978,-0.0340,0.3632,-0.0153,-0.0681
1785738203.889591,0.1132,34.548912048339844,32.73054504394531,0.1973,-0.0309,0.3855,-0.0169,-0.0716
1785738204.083186,0.1936,34.548912048339844,32.73054504394531,0.1973,-0.0309,0.4235,-0.0198,-0.0776
1785738204.771809,0.6886,34.36707305908203,32.73054504394531,0.1967,-0.0278,0.5584,-0.0329,-0.0967
1785738204.952784,0.1810,34.3902473449707,32.5897102355957,0.1964,-0.0306,0.5937,-0.0365,-0.1023
1785738205.311740,0.3590,34.185237884521484,32.548709869384766,0.1957,-0.0278,0.6635,-0.0444,-0.1123
1785738205.723158,0.4114,34.185237884521484,32.73054504394531,0.1962,-0.0247,0.7437,-0.0543,-0.1224
