t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785501112.340526,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.440240,0.0997,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.537387,0.0971,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.637418,0.1000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.739415,0.1020,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.860909,0.1215,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501112.954131,0.0932,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501113.071464,0.1173,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501113.147123,0.0757,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501113.247251,0.1001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501113.349775,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785501113.453756,0.1040,20.7061710357666,21.78649139404297,0.1246,0.0184,0.0130,0.0000,0.0019
1785501113.548288,0.0945,27.275455474853516,27.457292556762695,0.1605,0.0031,0.0281,0.0001,0.0022
1785501113.651458,0.1032,26.72994613647461,27.275455474853516,0.1584,0.0093,0.0445,0.0001,0.0032
1785501113.751550,0.1001,27.82096290588379,30.003000259399414,0.1695,0.0371,0.0614,0.0002,0.0069
1785501113.862870,0.1113,28.268423080444336,31.329336166381836,0.1747,0.0520,0.0809,0.0005,0.0127
1785501113.964622,0.1018,28.282827377319336,31.404958724975586,0.1750,0.0531,0.0987,0.0008,0.0181
1785501114.054326,0.0897,27.91551971435547,31.037647247314453,0.1729,0.0531,0.1142,0.0011,0.0228
1785501114.158072,0.1037,28.18463706970215,31.639528274536133,0.1754,0.0587,0.1324,0.0017,0.0289
1785501114.255231,0.0972,28.730146408081055,33.09421920776367,0.1813,0.0742,0.1500,0.0023,0.0361
1785501114.361161,0.1059,28.548309326171875,33.09421920776367,0.1807,0.0773,0.1691,0.0032,0.0443
1785501114.457047,0.0959,28.366474151611328,32.912384033203125,0.1797,0.0773,0.1863,0.0040,0.0517
1785501114.558238,0.1012,28.366474151611328,32.912384033203125,0.1797,0.0773,0.2045,0.0051,0.0595
1785501114.727334,0.1691,28.18463706970215,32.912384033203125,0.1791,0.0804,0.2347,0.0073,0.0731
1785501114.765182,0.0378,27.908315658569336,32.7697639465332,0.1779,0.0826,0.2414,0.0079,0.0763
1785501114.863284,0.0981,29.093820571899414,33.27605438232422,0.1829,0.0711,0.2593,0.0093,0.0832
1785501114.974607,0.1113,28.988637924194336,33.4899787902832,0.1832,0.0765,0.2796,0.0112,0.0917
1785501115.064484,0.0899,29.093820571899414,33.457889556884766,0.1834,0.0742,0.2960,0.0128,0.0984
1785501115.166687,0.1022,29.457490921020508,33.821563720703125,0.1855,0.0742,0.3148,0.0148,0.1060
1785501115.268745,0.1021,29.168691635131836,33.4899787902832,0.1837,0.0735,0.3335,0.0170,0.1135
1785501115.369185,0.1004,29.093820571899414,33.821563720703125,0.1845,0.0804,0.3519,0.0192,0.1216
1785501115.469749,0.1006,29.275653839111328,33.63972854614258,0.1845,0.0742,0.3703,0.0216,0.1290
1785501115.572500,0.1028,29.093820571899414,33.821563720703125,0.1845,0.0804,0.3890,0.0242,0.1373
1785501115.674599,0.1021,29.093820571899414,33.63972854614258,0.1839,0.0773,0.4076,0.0269,0.1452
1785501115.776062,0.1015,28.80858612060547,33.6700325012207,0.1832,0.0826,0.4260,0.0298,0.1536
1785501115.877980,0.1019,28.911983489990234,33.63972854614258,0.1834,0.0804,0.4444,0.0328,0.1617
1785501115.989814,0.1118,30.003000259399414,33.27605438232422,0.1855,0.0556,0.4649,0.0362,0.1680
1785501116.084755,0.0949,31.329336166381836,32.9498176574707,0.1885,0.0275,0.4825,0.0393,0.1706
1785501116.186490,0.1017,30.912181854248047,33.09421920776367,0.1877,0.0371,0.5013,0.0426,0.1744
1785501116.282700,0.0962,30.969226837158203,32.9498176574707,0.1874,0.0337,0.5191,0.0458,0.1776
1785501116.387911,0.1052,30.969226837158203,32.9498176574707,0.1874,0.0337,0.5385,0.0493,0.1811
1785501116.485868,0.0980,31.869497299194336,32.9498176574707,0.1901,0.0184,0.5568,0.0527,0.1829
1785501116.589631,0.1038,31.821365356445312,32.73054504394531,0.1893,0.0155,0.5761,0.0563,0.1845
1785501116.693240,0.1036,32.00320053100586,32.36687469482422,0.1887,0.0062,0.5953,0.0599,0.1852
1785501116.789043,0.0958,32.36687469482422,32.36687469482422,0.1898,0.0000,0.6132,0.0633,0.1852
1785501116.893700,0.1047,32.4096565246582,32.5897102355957,0.1906,0.0031,0.6328,0.0669,0.1855
1785501117.008248,0.1145,32.0495491027832,32.0495491027832,0.1879,0.0000,0.6540,0.0709,0.1855
1785501117.112127,0.1039,32.0495491027832,32.4096565246582,0.1890,0.0061,0.6732,0.0745,0.1861
1785501117.203143,0.0910,32.0495491027832,32.4096565246582,0.1890,0.0061,0.6902,0.0777,0.1867
1785501117.301273,0.0981,32.00320053100586,32.185035705566406,0.1882,0.0031,0.7083,0.0812,0.1870
1785501117.403215,0.1019,32.548709869384766,29.821165084838867,0.1829,-0.0464,0.7266,0.0845,0.1823
1785501117.505418,0.1022,32.548709869384766,29.639328002929688,0.1823,-0.0495,0.7450,0.0878,0.1772
1785501117.606863,0.1014,32.22960662841797,29.52880096435547,0.1811,-0.0459,0.7631,0.0910,0.1726
1785501117.710649,0.1038,32.36687469482422,29.457490921020508,0.1813,-0.0495,0.7816,0.0941,0.1674
1785501117.808582,0.0979,32.6905403137207,28.466482162475586,0.1793,-0.0718,0.7990,0.0969,0.1604
1785501117.915619,0.1070,32.73054504394531,27.639127731323242,0.1770,-0.0865,0.8177,0.0998,0.1511
1785501118.003993,0.0884,32.73054504394531,27.639127731323242,0.1770,-0.0865,0.8332,0.1020,0.1435
1785501118.125543,0.1215,32.912384033203125,26.91178321838379,0.1754,-0.1020,0.8543,0.1048,0.1311
1785501118.209072,0.0835,33.1298713684082,26.64794158935547,0.1753,-0.1102,0.8688,0.1066,0.1219
1785501118.308459,0.0994,32.912384033203125,26.54810905456543,0.1743,-0.1082,0.8861,0.1085,0.1111
1785501118.410017,0.1016,32.9498176574707,26.46788787841797,0.1742,-0.1102,0.9037,0.1103,0.0999
1785501118.512203,0.1022,32.73054504394531,26.366273880004883,0.1733,-0.1082,0.9213,0.1118,0.0889
1785501118.614247,0.1020,33.09421920776367,26.54810905456543,0.1749,-0.1113,0.9391,0.1132,0.0775
1785501118.720496,0.1062,32.6905403137207,25.528005599975586,0.1707,-0.1217,0.9572,0.1144,0.0646
1785501118.812661,0.0922,33.09421920776367,25.09341812133789,0.1706,-0.1360,0.9729,0.1152,0.0521
1785501118.917394,0.1047,32.9498176574707,25.02745819091797,0.1700,-0.1347,0.9907,0.1159,0.0380
1785501119.039455,0.1221,33.09421920776367,24.911582946777344,0.1701,-0.1391,1.0115,0.1163,0.0210
1785501119.143718,0.1043,32.73054504394531,24.547908782958984,0.1679,-0.1391,1.0290,0.1164,0.0065
1785501119.222808,0.0791,33.1298713684082,24.127187728881836,0.1679,-0.1530,1.0422,0.1164,-0.0056
1785501119.320460,0.0977,32.912384033203125,24.18423843383789,0.1674,-0.1484,1.0586,0.1160,-0.0201
1785501119.422835,0.1024,32.912384033203125,24.00240135192871,0.1669,-0.1515,1.0757,0.1154,-0.0356
1785501119.530021,0.1072,32.912384033203125,23.638729095458984,0.1658,-0.1576,1.0934,0.1145,-0.0525
1785501119.625429,0.0954,32.912384033203125,23.82056427001953,0.1663,-0.1545,1.1092,0.1134,-0.0673
