t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785331265.833607,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331265.936275,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.037359,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.136721,0.0994,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.237992,0.1013,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.339134,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.450303,0.1112,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.545238,0.0949,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331266.643410,0.0982,25.02745819091797,22.32665252685547,0.1388,-0.0459,0.0136,-0.0001,-0.0045
1785331266.744791,0.1014,36.91278076171875,33.63972854614258,0.2069,-0.0556,0.0346,-0.0003,-0.0101
1785331266.849937,0.1051,36.017723083496094,32.98653030395508,0.2023,-0.0515,0.0559,-0.0006,-0.0156
1785331266.949057,0.0991,36.00360107421875,32.73054504394531,0.2015,-0.0556,0.0758,-0.0010,-0.0211
1785331267.050638,0.1016,35.8217658996582,32.912384033203125,0.2015,-0.0495,0.0963,-0.0016,-0.0261
1785331267.156204,0.1056,35.63992691040039,32.73054504394531,0.2005,-0.0495,0.1175,-0.0022,-0.0313
1785331267.251892,0.0957,35.63992691040039,32.73054504394531,0.2005,-0.0495,0.1366,-0.0029,-0.0361
1785331267.356278,0.1044,35.458091735839844,33.09421920776367,0.2010,-0.0402,0.1576,-0.0038,-0.0403
1785331267.453977,0.0977,35.458091735839844,33.09421920776367,0.2010,-0.0402,0.1772,-0.0046,-0.0442
1785331267.557564,0.1036,35.2762565612793,32.73054504394531,0.1994,-0.0433,0.1979,-0.0056,-0.0487
1785331267.655342,0.0978,35.2762565612793,32.73054504394531,0.1994,-0.0433,0.2173,-0.0067,-0.0529
1785331267.756730,0.1014,35.094417572021484,33.09421920776367,0.1999,-0.0340,0.2376,-0.0078,-0.0563
1785331267.857586,0.1009,35.094417572021484,32.73054504394531,0.1989,-0.0402,0.2576,-0.0090,-0.0604
1785331267.960198,0.1026,34.9304084777832,32.7697639465332,0.1985,-0.0367,0.2779,-0.0103,-0.0642
1785331268.061218,0.1010,34.91258239746094,32.73054504394531,0.1983,-0.0371,0.2979,-0.0117,-0.0679
1785331268.163282,0.1021,34.9304084777832,32.7697639465332,0.1985,-0.0367,0.3181,-0.0131,-0.0717
1785331268.264117,0.1008,34.548912048339844,32.36687469482422,0.1962,-0.0371,0.3378,-0.0146,-0.0754
1785331268.365302,0.1012,34.73074722290039,32.548709869384766,0.1973,-0.0371,0.3577,-0.0162,-0.0791
1785331268.470244,0.1049,34.548912048339844,32.548709869384766,0.1967,-0.0340,0.3783,-0.0179,-0.0827
1785331268.584934,0.1147,18.72557830810547,17.8253116607666,0.1072,-0.0153,0.3906,-0.0189,-0.0845
1785331268.669846,0.0849,-0.0,-0.0,-0.0000,0.0000,0.3906,-0.0189,-0.0845
1785331268.824121,0.1543,-0.0,-0.0,-0.0000,0.0000,0.3906,-0.0189,-0.0845
1785331268.957420,0.1333,-0.0,-0.0,-0.0000,0.0000,0.3906,-0.0189,-0.0845
1785331268.994885,0.0375,-0.0,-0.0,-0.0000,0.0000,0.3906,-0.0189,-0.0845
1785331269.086082,0.0912,-0.0,-0.0,-0.0000,0.0000,0.3906,-0.0189,-0.0845
1785331269.206770,0.1207,18.910982131958008,-12.910381317138672,0.0176,-0.5409,0.3927,-0.0193,-0.1497
1785331269.397368,0.1906,33.27605438232422,-23.275054931640625,0.0293,-0.9613,0.3979,-0.0211,-0.3330
1785331269.578716,0.1813,31.772266387939453,-22.22222137451172,0.0280,-0.9178,0.4024,-0.0235,-0.4994
