t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786688017.408215,0.0000,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.462434,0.0542,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.559833,0.0974,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.559905,0.0001,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.607908,0.0480,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.708333,0.1004,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.811427,0.1031,-0.0,-0.0,-0.0000,0.0000,-1.0815,3.3123,12.0138,,enc,
1786688017.909184,0.0978,-0.0,20.9366397857666,0.0614,0.3559,-1.0763,3.3094,12.0486,,enc,
1786688018.115412,0.2062,-0.0,31.821365356445312,0.0933,0.5409,-1.0586,3.3017,12.1601,,enc,
1786688018.115582,0.0002,-0.0,30.670339584350586,0.0899,0.5213,-1.0586,3.3017,12.1602,,enc,
1786688018.213621,0.0980,-0.0,32.5897102355957,0.0956,0.5540,-1.0498,3.2985,12.2145,,enc,
1786688018.323308,0.1097,-0.0,33.6700325012207,0.0987,0.5723,-1.0394,3.2954,12.2773,,enc,
1786688018.416618,0.0933,-0.0,33.27605438232422,0.0976,0.5656,-1.0306,3.2933,12.3301,,enc,
1786688018.525956,0.1093,-0.0,33.24150466918945,0.0975,0.5650,-1.0201,3.2914,12.3919,,enc,
1786688018.621778,0.0958,8.546309471130371,33.27605438232422,0.1226,0.4204,-1.0084,3.2899,12.4321,,enc,
1786688018.822984,0.2012,27.09362030029297,34.00339889526367,0.1791,0.1175,-0.9726,3.2859,12.4558,,enc,
1786688019.668980,0.8460,26.002599716186523,34.36707305908203,0.1770,0.1422,-0.8229,3.2873,12.5760,,enc,
1786688019.685079,0.0161,25.63892936706543,34.185237884521484,0.1754,0.1453,-0.8200,3.2874,12.5784,,enc,
1786688020.422184,0.7371,25.344350814819336,34.1597785949707,0.1745,0.1498,-0.6924,3.3031,12.6888,,enc,
1786688020.422244,0.0001,27.91551971435547,33.7924690246582,0.1809,0.0999,-0.6924,3.3031,12.6888,,enc,
1786688020.422258,0.0000,28.282827377319336,33.7924690246582,0.1820,0.0937,-0.6924,3.3031,12.6888,,enc,
1786688020.422269,0.0000,28.00279998779297,33.457889556884766,0.1802,0.0927,-0.6924,3.3031,12.6888,,enc,
1786688020.422277,0.0000,27.731863021850586,33.60881423950195,0.1799,0.0999,-0.6924,3.3031,12.6888,,enc,
1786688020.422286,0.0000,27.82096290588379,33.27605438232422,0.1791,0.0927,-0.6924,3.3031,12.6888,,enc,
1786688020.422294,0.0000,8.909981727600098,11.27385425567627,0.0592,0.0402,-0.6924,3.3031,12.6888,,enc,
1786688020.422303,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.6924,3.3031,12.6888,,enc,
1786688020.422312,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.6924,3.3031,12.6888,,enc,
1786688020.422321,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.6924,3.3031,12.6888,,enc,
1786688020.422328,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.6924,3.3031,12.6888,,enc,
1786688020.423267,0.0009,9.90295124053955,10.62316608428955,0.0602,0.0122,-0.6923,3.3031,12.6889,,enc,
1786688020.423280,0.0000,33.457889556884766,32.73054504394531,0.1941,-0.0124,-0.6923,3.3031,12.6889,,enc,
1786688020.493202,0.0699,32.548709869384766,31.639528274536133,0.1882,-0.0155,-0.6792,3.3047,12.6878,,enc,
1786688020.493347,0.0001,32.00320053100586,31.275854110717773,0.1855,-0.0124,-0.6792,3.3047,12.6878,,enc,
1786688020.792549,0.2992,32.00320053100586,31.094018936157227,0.1850,-0.0155,-0.6242,3.3111,12.6832,,enc,
1786688020.792654,0.0001,32.50688552856445,28.833791732788086,0.1799,-0.0624,-0.6242,3.3111,12.6831,,enc,
1786688020.792686,0.0000,32.5897102355957,28.628530502319336,0.1795,-0.0673,-0.6242,3.3111,12.6831,,enc,
1786688020.849392,0.0567,33.4251594543457,26.62993621826172,0.1761,-0.1155,-0.6143,3.3122,12.6766,,enc,
1786688021.071557,0.2222,33.27605438232422,26.72994613647461,0.1759,-0.1113,-0.5753,3.3156,12.6519,,enc,
1786688021.072861,0.0013,33.24150466918945,26.813589096069336,0.1761,-0.1093,-0.5751,3.3156,12.6517,,enc,
1786688021.187682,0.1148,33.09421920776367,26.184436798095703,0.1738,-0.1175,-0.5552,3.3170,12.6382,,enc,
1786688021.422503,0.2348,33.24150466918945,24.05876922607422,0.1680,-0.1561,-0.5158,3.3184,12.6016,,enc,
1786688021.423459,0.0010,33.27605438232422,24.00240135192871,0.1679,-0.1576,-0.5156,3.3184,12.6014,,enc,
1786688021.466703,0.0432,33.24150466918945,22.95684051513672,0.1648,-0.1748,-0.5085,3.3186,12.5939,,enc,
1786688021.732640,0.2659,34.5270881652832,1.6528925895690918,0.1061,-0.5588,-0.4805,3.3152,12.4453,,enc,
1786688021.757749,0.0251,34.00339889526367,-0.0,0.0997,-0.5780,-0.4780,3.3149,12.4308,,enc,
1786688021.824277,0.0665,34.00339889526367,-0.0,0.0997,-0.5780,-0.4715,3.3137,12.3923,,enc,
1786688021.904176,0.0799,34.5270881652832,-0.0,0.1012,-0.5869,-0.4636,3.3120,12.3454,,enc,
1786688022.107288,0.2031,35.458091735839844,-0.0,0.1040,-0.6027,-0.4437,3.3048,12.2230,,enc,
1786688022.107355,0.0001,34.8943977355957,-0.0,0.1023,-0.5931,-0.4437,3.3048,12.2230,,enc,
1786688022.485615,0.3783,35.2762565612793,-0.0,0.1034,-0.5996,-0.4108,3.2837,11.9961,,enc,
1786688022.485697,0.0001,34.91258239746094,6.727945804595947,0.1221,-0.4791,-0.4108,3.2837,11.9961,,enc,
1786688022.485726,0.0000,35.458091735839844,24.547908782958984,0.1759,-0.1855,-0.4108,3.2837,11.9961,,enc,
1786688022.485749,0.0000,35.81267166137695,23.50780487060547,0.1739,-0.2092,-0.4107,3.2837,11.9961,,enc,
1786688022.590692,0.1049,35.8217658996582,23.275054931640625,0.1733,-0.2133,-0.3957,3.2736,11.9737,,enc,
1786688023.628133,1.0374,35.8217658996582,25.63892936706543,0.1802,-0.1731,-0.2617,3.1431,11.7941,,enc,
1786688023.630335,0.0022,36.549110412597656,27.09362030029297,0.1866,-0.1607,-0.2614,3.1428,11.7938,,enc,
1786688023.642057,0.0117,35.9963264465332,26.62993621826172,0.1836,-0.1592,-0.2599,3.1413,11.7919,,enc,
1786688023.642116,0.0001,36.1854362487793,26.54810905456543,0.1839,-0.1638,-0.2599,3.1413,11.7919,,enc,
1786688023.642139,0.0000,35.9963264465332,26.813589096069336,0.1842,-0.1561,-0.2599,3.1413,11.7919,,enc,
1786688023.642159,0.0000,36.00360107421875,26.366273880004883,0.1829,-0.1638,-0.2599,3.1413,11.7919,,enc,
1786688023.642178,0.0000,36.00360107421875,26.366273880004883,0.1829,-0.1638,-0.2599,3.1413,11.7919,,enc,
1786688023.892369,0.2502,27.82096290588379,20.547510147094727,0.1418,-0.1236,-0.2353,3.1157,11.7610,,enc,
1786688023.892459,0.0001,0.36367273330688477,0.5455090999603271,0.0027,0.0031,-0.2353,3.1157,11.7610,,enc,
1786688023.892730,0.0003,-0.0,-0.0,-0.0000,0.0000,-0.2353,3.1157,11.7610,,enc,
1786688023.892766,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.2353,3.1157,11.7610,,enc,
1786688023.892827,0.0001,-0.0,-0.0,-0.0000,0.0000,-0.2353,3.1157,11.7610,,enc,
1786688023.892907,0.0001,17.9981632232666,13.223140716552734,0.0915,-0.0812,-0.2353,3.1157,11.7610,,enc,
1786688024.165202,0.2723,36.3708381652832,28.80858612060547,0.1911,-0.1285,-0.2006,3.0769,11.7260,,enc,
1786688024.321728,0.1565,32.185035705566406,28.730146408081055,0.1786,-0.0587,-0.1821,3.0559,11.7168,,enc,
1786688024.321803,0.0001,31.404958724975586,29.384756088256836,0.1782,-0.0343,-0.1821,3.0559,11.7168,,enc,
1786688024.321860,0.0001,31.275854110717773,29.093820571899414,0.1770,-0.0371,-0.1821,3.0559,11.7168,,enc,
1786688024.474188,0.1523,28.988637924194336,29.348745346069336,0.1711,0.0061,-0.1649,3.0364,11.7177,,enc,
1786688024.474252,0.0001,27.91551971435547,29.384756088256836,0.1680,0.0250,-0.1649,3.0364,11.7177,,enc,
1786688024.557513,0.0833,27.82096290588379,29.275653839111328,0.1674,0.0247,-0.1556,3.0259,11.7198,,enc,
1786688024.658003,0.1005,26.184436798095703,29.457490921020508,0.1632,0.0556,-0.1447,3.0137,11.7254,,enc,
1786688024.805334,0.1473,25.16069793701172,29.752065658569336,0.1610,0.0780,-0.1287,2.9962,11.7369,,enc,
1786688024.859209,0.0539,24.911582946777344,29.639328002929688,0.1600,0.0804,-0.1228,2.9899,11.7412,,enc,
1786688024.963184,0.1040,8.364472389221191,30.366674423217773,0.1136,0.3740,-0.1145,2.9815,11.7801,,enc,
1786688025.130273,0.1671,-0.0,30.366674423217773,0.0890,0.5162,-0.1031,2.9719,11.8663,,enc,
1786688025.161189,0.0309,-0.0,30.303028106689453,0.0889,0.5151,-0.1010,2.9702,11.8822,,enc,
1786688025.263188,0.1020,-0.0,29.52880096435547,0.0866,0.5019,-0.0939,2.9650,11.9334,,enc,
1786688025.458435,0.1952,-0.0,30.119375228881836,0.0883,0.5120,-0.0790,2.9562,12.0334,,enc,
1786688025.470098,0.0117,-0.0,31.094018936157227,0.0912,0.5285,-0.0781,2.9557,12.0396,,enc,
1786688025.569523,0.0994,-0.0,30.7303466796875,0.0901,0.5224,-0.0701,2.9516,12.0915,,enc,
1786688025.787288,0.2178,-0.0,30.429067611694336,0.0892,0.5172,-0.0520,2.9447,12.2041,,enc,
1786688025.787354,0.0001,-0.0,30.670339584350586,0.0899,0.5213,-0.0520,2.9447,12.2042,,enc,
1786688025.868639,0.0813,-0.0,31.275854110717773,0.0917,0.5316,-0.0449,2.9424,12.2474,,enc,
1786688025.970402,0.1018,-0.0,32.912384033203125,0.0965,0.5594,-0.0354,2.9398,12.3043,,enc,
1786688026.114331,0.1439,-0.0,33.09421920776367,0.0970,0.5625,-0.0217,2.9373,12.3853,,enc,
1786688026.173404,0.0591,-6.978879928588867,31.588611602783203,0.0722,0.6556,-0.0174,2.9367,12.4240,,enc,
1786688026.277800,0.1044,-28.448476791381836,23.76708221435547,-0.0137,0.8876,-0.0189,2.9368,12.5167,,enc,
1786688026.442588,0.1648,-27.36455535888672,23.87511444091797,-0.0102,0.8710,-0.0205,2.9366,12.6602,,enc,
1786688026.474021,0.0314,-27.188100814819336,23.58702850341797,-0.0106,0.8631,-0.0209,2.9366,12.6873,,enc,
1786688026.588119,0.1141,-27.18090057373047,23.87511444091797,-0.0097,0.8678,-0.0220,2.9363,12.7863,,enc,
1786688026.800916,0.2128,-26.72994613647461,23.82056427001953,-0.0085,0.8593,-0.0236,2.9356,12.9692,,enc,
1786688026.801078,0.0002,-17.9981632232666,16.1616153717041,-0.0054,0.5806,-0.0236,2.9356,12.9693,,enc,
1786688026.905711,0.1046,-0.0,-0.0,-0.0000,0.0000,-0.0236,2.9356,12.9693,,enc,
1786688027.110459,0.2047,-0.0,-0.0,-0.0000,0.0000,-0.0236,2.9356,12.9693,,enc,
1786688027.110545,0.0001,-0.0,-0.0,-0.0000,0.0000,-0.0236,2.9356,12.9693,,enc,
1786688027.201416,0.0909,-14.001399993896484,11.092019081115723,-0.0085,0.4265,-0.0243,2.9353,13.0080,,enc,
1786688027.289251,0.0878,-25.09341812133789,24.00240135192871,-0.0032,0.8345,-0.0246,2.9351,13.0813,,enc,
1786688027.426162,0.1369,-24.24242401123047,22.77318572998047,-0.0043,0.7992,-0.0251,2.9348,13.1908,,enc,
1786688027.518009,0.0918,-24.00240135192871,22.365873336791992,-0.0048,0.7882,-0.0254,2.9345,13.2631,,enc,
1786688027.610103,0.0921,-23.14049530029297,21.6712589263916,-0.0043,0.7617,-0.0257,2.9342,13.3333,,enc,
