t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785239511.437776,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.496921,0.0591,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.538709,0.0418,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.588855,0.0501,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.654881,0.0660,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.756474,0.1016,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.857612,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239511.956823,0.0992,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239512.055802,0.0990,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239512.161442,0.1056,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785239512.261023,0.0996,-0.0,17.2851505279541,0.0507,0.2938,0.0050,0.0001,0.0293
1785239512.361416,0.1004,-0.0,26.82799530029297,0.0787,0.4560,0.0129,0.0007,0.0750
1785239512.473960,0.1125,-0.0,26.366273880004883,0.0773,0.4482,0.0216,0.0018,0.1255
1785239512.564984,0.0910,-0.0,28.80858612060547,0.0845,0.4897,0.0291,0.0031,0.1701
1785239512.665946,0.1010,-0.0,29.935720443725586,0.0878,0.5088,0.0378,0.0051,0.2214
1785239512.777002,0.1111,-0.0,30.068960189819336,0.0882,0.5111,0.0472,0.0078,0.2782
1785239512.868485,0.0915,-0.0,30.068960189819336,0.0882,0.5111,0.0548,0.0103,0.3249
1785239512.977634,0.1091,-0.0,30.068960189819336,0.0882,0.5111,0.0638,0.0139,0.3807
1785239513.074230,0.0966,-0.0,30.068960189819336,0.0882,0.5111,0.0715,0.0175,0.4301
1785239513.175846,0.1016,-0.0,31.149282455444336,0.0913,0.5295,0.0797,0.0218,0.4839
1785239513.276863,0.1010,-0.0,31.689441680908203,0.0929,0.5387,0.0878,0.0266,0.5383
1785239513.379166,0.1023,-0.0,31.869497299194336,0.0934,0.5417,0.0957,0.0319,0.5937
1785239513.496190,0.1170,-0.0,32.4096565246582,0.0950,0.5509,0.1045,0.0387,0.6582
1785239513.586691,0.0905,-0.0,32.5897102355957,0.0956,0.5540,0.1111,0.0444,0.7083
1785239513.691604,0.1049,-0.0,32.5897102355957,0.0956,0.5540,0.1183,0.0513,0.7665
1785239513.796029,0.1044,-0.0,32.4096565246582,0.0950,0.5509,0.1250,0.0586,0.8240
1785239513.891733,0.0957,-0.0,32.5897102355957,0.0956,0.5540,0.1309,0.0656,0.8770
1785239513.992752,0.1010,-0.0,32.7697639465332,0.0961,0.5570,0.1367,0.0734,0.9333
1785239514.095378,0.1026,-0.0,33.1298713684082,0.0971,0.5631,0.1421,0.0818,0.9911
1785239514.201180,0.1058,-0.0,32.87419509887695,0.0964,0.5588,0.1472,0.0906,1.0502
1785239514.301570,0.1004,-0.0,32.9498176574707,0.0966,0.5601,0.1515,0.0993,1.1064
1785239514.406693,0.1051,-0.0,32.7697639465332,0.0961,0.5570,0.1555,0.1086,1.1650
1785239514.571689,0.1650,-0.0,33.09421920776367,0.0970,0.5625,0.1605,0.1238,1.2578
1785239514.732713,0.1610,-0.0,33.1298713684082,0.0971,0.5631,0.1639,0.1391,1.3485
1785239514.824888,0.0922,-0.0,33.1298713684082,0.0971,0.5631,0.1654,0.1479,1.4004
1785239514.975444,0.1506,-0.0,33.1298713684082,0.0971,0.5631,0.1667,0.1625,1.4852
1785239515.128597,0.1532,-0.0,33.24150466918945,0.0975,0.5650,0.1667,0.1774,1.5717
1785239515.128692,0.0001,-0.0,33.1298713684082,0.0971,0.5631,0.1667,0.1774,1.5717
1785239515.236766,0.1081,15.844720840454102,17.4652042388916,0.0977,0.0275,0.1666,0.1880,1.5747
1785239515.278405,0.0416,30.609121322631836,0.18005365133285522,0.0903,-0.5172,0.1667,0.1917,1.5532
1785239515.336309,0.0579,29.168691635131836,-0.0,0.0855,-0.4958,0.1669,0.1967,1.5245
1785239515.415105,0.0788,29.168691635131836,-0.0,0.0855,-0.4958,0.1675,0.2034,1.4854
1785239515.631466,0.2164,29.168691635131836,-0.0,0.0855,-0.4958,0.1710,0.2215,1.3781
1785239515.645665,0.0142,29.348745346069336,-0.0,0.0861,-0.4989,0.1713,0.2227,1.3711
1785239515.737400,0.0917,28.730146408081055,-0.0,0.0842,-0.4884,0.1731,0.2302,1.3263
1785239515.836342,0.0989,30.249011993408203,-9.00268268585205,0.0623,-0.6672,0.1750,0.2361,1.2602
1785239515.938281,0.1019,33.0578498840332,-26.62993621826172,0.0188,-1.0146,0.1758,0.2379,1.1568
1785239516.040934,0.1027,5.401609420776367,-4.321287631988525,0.0032,-0.1653,0.1759,0.2382,1.1399
1785239516.145270,0.1043,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.247644,0.1024,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.349696,0.1021,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.455474,0.1058,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.609291,0.1538,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.674020,0.0647,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.759685,0.0857,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.862539,0.1029,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239516.969775,0.1072,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.066198,0.0964,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.172036,0.1058,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.240609,0.0686,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.342477,0.1019,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.443958,0.1015,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.547251,0.1033,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.683775,0.1365,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.750641,0.0669,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239517.851071,0.1004,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.004543,0.1535,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.060743,0.0562,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.154134,0.0934,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.255656,0.1015,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.359116,0.1035,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.460095,0.1010,-0.0,-0.0,-0.0000,0.0000,0.1759,0.2382,1.1399
1785239518.560890,0.1008,20.729347229003906,-18.183637619018555,0.0075,-0.6614,0.1763,0.2388,1.0732
1785239518.665262,0.1044,28.833791732788086,-24.97704315185547,0.0113,-0.9147,0.1770,0.2398,0.9777
1785239518.764556,0.0993,27.728261947631836,-24.30724334716797,0.0100,-0.8845,0.1776,0.2406,0.8899
1785239518.865859,0.1013,27.908315658569336,-23.94713592529297,0.0116,-0.8814,0.1784,0.2414,0.8006
1785239518.974081,0.1082,27.731863021850586,-24.24242401123047,0.0102,-0.8835,0.1792,0.2421,0.7050
1785239519.068694,0.0946,27.548208236694336,-24.48729705810547,0.0090,-0.8845,0.1799,0.2426,0.6213
1785239519.168331,0.0996,30.609121322631836,-26.287832260131836,0.0127,-0.9671,0.1810,0.2433,0.5249
1785239519.272624,0.1043,33.0578498840332,-29.017446517944336,0.0118,-1.0552,0.1822,0.2438,0.4149
1785239519.375422,0.1028,32.7697639465332,-28.628530502319336,0.0121,-1.0436,0.1834,0.2441,0.3076
1785239519.477091,0.1017,32.7697639465332,-14.764400482177734,0.0528,-0.8080,0.1886,0.2453,0.2255
1785239519.576593,0.0995,32.7697639465332,-0.0,0.0961,-0.5570,0.1980,0.2470,0.1700
1785239519.682594,0.1060,32.7697639465332,-0.0,0.0961,-0.5570,0.2081,0.2481,0.1110
1785239519.788345,0.1058,32.5897102355957,-0.0,0.0956,-0.5540,0.2182,0.2486,0.0524
1785239519.900554,0.1122,32.5897102355957,2.8808584213256836,0.1040,-0.5050,0.2299,0.2486,-0.0043
1785239520.033154,0.1326,32.7697639465332,24.66735076904297,0.1684,-0.1377,0.2522,0.2481,-0.0225
1785239520.096200,0.0630,33.1298713684082,24.48729705810547,0.1689,-0.1469,0.2629,0.2477,-0.0318
1785239520.196595,0.1004,32.9498176574707,23.94713592529297,0.1668,-0.1530,0.2796,0.2469,-0.0471
1785239520.291699,0.0951,32.87419509887695,24.05876922607422,0.1669,-0.1498,0.2954,0.2460,-0.0614
1785239520.398111,0.1064,32.7697639465332,23.76708221435547,0.1658,-0.1530,0.3130,0.2446,-0.0777
1785239520.501573,0.1035,32.7697639465332,24.66735076904297,0.1684,-0.1377,0.3304,0.2430,-0.0919
1785239520.601099,0.0995,32.87419509887695,25.89531707763672,0.1723,-0.1186,0.3474,0.2412,-0.1037
1785239520.706634,0.1055,32.9498176574707,25.74767303466797,0.1721,-0.1224,0.3655,0.2391,-0.1167
1785239520.818243,0.1116,32.912384033203125,26.002599716186523,0.1727,-0.1175,0.3846,0.2366,-0.1298
1785239520.915802,0.0976,32.7697639465332,26.64794158935547,0.1742,-0.1041,0.4014,0.2342,-0.1399
1785239521.020010,0.1042,32.9498176574707,26.82799530029297,0.1753,-0.1041,0.4195,0.2315,-0.1508
1785239521.268747,0.2487,32.9498176574707,26.82799530029297,0.1753,-0.1041,0.4624,0.2238,-0.1766
1785239521.279146,0.0104,32.7697639465332,27.008047103881836,0.1753,-0.0979,0.4642,0.2235,-0.1777
1785239521.322089,0.0429,32.9498176574707,26.82799530029297,0.1753,-0.1041,0.4716,0.2221,-0.1821
1785239521.523426,0.2013,32.73054504394531,26.72994613647461,0.1743,-0.1020,0.5060,0.2151,-0.2027
1785239521.535807,0.0124,32.9498176574707,26.64794158935547,0.1747,-0.1071,0.5081,0.2146,-0.2040
1785239521.777144,0.2413,32.73054504394531,26.54810905456543,0.1738,-0.1051,0.5490,0.2051,-0.2293
1785239521.788033,0.0109,32.5897102355957,26.82799530029297,0.1742,-0.0979,0.5508,0.2047,-0.2304
1785239521.849560,0.0615,32.5897102355957,27.008047103881836,0.1747,-0.0949,0.5613,0.2022,-0.2363
1785239522.031097,0.1815,32.5897102355957,26.82799530029297,0.1742,-0.0979,0.5919,0.1942,-0.2540
1785239522.088088,0.0570,32.5897102355957,26.64794158935547,0.1737,-0.1010,0.6014,0.1917,-0.2598
1785239522.297032,0.2089,32.4096565246582,26.82799530029297,0.1737,-0.0949,0.6363,0.1817,-0.2796
1785239522.299343,0.0023,32.5897102355957,26.82799530029297,0.1742,-0.0979,0.6367,0.1815,-0.2798
1785239522.346889,0.0475,32.4096565246582,26.64794158935547,0.1732,-0.0979,0.6446,0.1792,-0.2845
1785239522.609417,0.2625,32.4096565246582,26.64794158935547,0.1732,-0.0979,0.6879,0.1654,-0.3102
1785239522.810499,0.2011,32.185035705566406,26.54810905456543,0.1722,-0.0958,0.7207,0.1541,-0.3295
1785239522.852581,0.0421,28.988637924194336,27.908315658569336,0.1668,-0.0184,0.7273,0.1519,-0.3302
1785239523.424512,0.5719,22.50670623779297,30.249011993408203,0.1547,0.1316,0.8129,0.1296,-0.2550
1785239523.627107,0.2026,23.22692108154297,30.068960189819336,0.1563,0.1163,0.8437,0.1223,-0.2314
1785239523.792659,0.1656,22.58953094482422,29.568410873413086,0.1529,0.1186,0.8685,0.1170,-0.2118
1785239523.838398,0.0457,22.86681365966797,29.888906478881836,0.1547,0.1194,0.8754,0.1155,-0.2063
1785239523.885672,0.0473,16.8962345123291,30.486684799194336,0.1389,0.2310,0.8818,0.1142,-0.1954
1785239524.042407,0.1567,-0.0,31.955923080444336,0.0937,0.5432,0.8964,0.1126,-0.1103
1785239524.093209,0.0508,-0.0,31.509389877319336,0.0924,0.5356,0.9011,0.1122,-0.0831
1785239524.139461,0.0463,-0.0,31.869497299194336,0.0934,0.5417,0.9054,0.1120,-0.0580
1785239524.304660,0.1652,-0.0,32.4096565246582,0.0950,0.5509,0.9211,0.1125,0.0330
1785239524.346827,0.0422,-0.0,32.4096565246582,0.0950,0.5509,0.9251,0.1127,0.0562
1785239524.387726,0.0409,-0.0,32.22960662841797,0.0945,0.5478,0.9290,0.1130,0.0786
1785239524.597168,0.2094,-6.727945804595947,32.36687469482422,0.0752,0.6645,0.9444,0.1164,0.2178
1785239524.644372,0.0472,-23.22692108154297,32.4096565246582,0.0269,0.9457,0.9456,0.1168,0.2625
1785239524.807119,0.1627,-23.04686737060547,32.5897102355957,0.0280,0.9457,0.9497,0.1186,0.4164
1785239524.846342,0.0392,-22.6867618560791,32.5897102355957,0.0290,0.9396,0.9508,0.1191,0.4532
1785239524.860271,0.0139,-22.6867618560791,32.5897102355957,0.0290,0.9396,0.9511,0.1193,0.4663
1785239525.051421,0.1912,-22.50670623779297,32.5897102355957,0.0296,0.9365,0.9556,0.1227,0.6453
1785239525.051974,0.0006,-22.9113826751709,32.548709869384766,0.0283,0.9427,0.9557,0.1227,0.6459
