t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786459534.081849,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.183650,0.1018,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.283543,0.0999,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.435788,0.1522,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.522199,0.0864,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.618098,0.0959,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.704358,0.0863,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.788703,0.0843,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.891761,0.1031,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459534.990082,0.0983,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459535.094643,0.1046,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459535.192614,0.0980,-0.0,-0.0,-0.0000,0.0000,-0.0833,-0.0031,-2.1692,,enc,
1786459535.294578,0.1020,-0.0,19.8059024810791,0.0581,0.3367,-0.0864,-0.0081,-2.1349,,enc,
1786459535.395187,0.1006,-0.0,26.184436798095703,0.0768,0.4451,-0.0903,-0.0148,-2.0901,,enc,
1786459535.525737,0.1306,-0.0,25.09341812133789,0.0736,0.4265,-0.0946,-0.0234,-2.0344,,enc,
1786459535.614905,0.0892,-0.0,24.911582946777344,0.0730,0.4234,-0.0973,-0.0294,-1.9966,,enc,
1786459535.698584,0.0837,-0.0,24.729745864868164,0.0725,0.4204,-0.0996,-0.0350,-1.9615,,enc,
1786459535.801758,0.1032,-0.0,24.547908782958984,0.0720,0.4173,-0.1021,-0.0420,-1.9184,,enc,
1786459535.899094,0.0973,-0.0,22.58953094482422,0.0662,0.3840,-0.1041,-0.0481,-1.8810,,enc,
1786459536.000021,0.1009,-0.0,21.638526916503906,0.0634,0.3678,-0.1058,-0.0543,-1.8439,,enc,
1786459536.101884,0.1019,-0.0,21.820363998413086,0.0640,0.3709,-0.1073,-0.0606,-1.8061,,enc,
1786459536.202906,0.1010,-0.0,21.60643768310547,0.0634,0.3673,-0.1086,-0.0669,-1.7690,,enc,
1786459536.305286,0.1024,2.1820363998413086,21.27485466003418,0.0688,0.3245,-0.1097,-0.0738,-1.7358,,enc,
1786459536.407616,0.1023,31.037647247314453,23.50780487060547,0.1599,-0.1280,-0.1126,-0.0899,-1.7489,,enc,
1786459536.538087,0.1305,29.568410873413086,23.87511444091797,0.1567,-0.0968,-0.1165,-0.1100,-1.7615,,enc,
