t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786626476.793751,0.0000,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.003016,0.2093,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.003065,0.0000,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.003727,0.0007,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.006791,0.0031,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.676973,0.6702,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.677032,0.0001,-0.0,-0.0,-0.0000,0.0000,14.2123,-3.3993,-13.2902,,enc,
1786626477.677046,0.0000,2.909381866455078,2.7275454998016357,0.0165,-0.0031,14.2123,-3.3993,-13.2902,,enc,
1786626477.677058,0.0000,30.366674423217773,30.912181854248047,0.1797,0.0093,14.2123,-3.3993,-13.2902,,enc,
1786626477.677495,0.0004,29.568410873413086,29.935720443725586,0.1745,0.0062,14.2123,-3.3994,-13.2902,,enc,
1786626477.677518,0.0000,30.7303466796875,29.457490921020508,0.1765,-0.0216,14.2123,-3.3994,-13.2902,,enc,
1786626477.720225,0.0427,32.13957595825195,29.017446517944336,0.1793,-0.0531,14.2180,-3.4044,-13.2925,,enc,
1786626477.754401,0.0342,31.821365356445312,29.093820571899414,0.1786,-0.0464,14.2226,-3.4085,-13.2940,,enc,
1786626477.826740,0.0723,31.588611602783203,29.017446517944336,0.1777,-0.0437,14.2322,-3.4171,-13.2972,,enc,
1786626478.019585,0.1928,31.639528274536133,28.911983489990234,0.1775,-0.0464,14.2575,-3.4402,-13.3061,,enc,
1786626478.019635,0.0001,33.4251594543457,27.91551971435547,0.1799,-0.0937,14.2575,-3.4402,-13.3061,,enc,
1786626478.200519,0.1809,33.4251594543457,27.91551971435547,0.1799,-0.0937,14.2811,-3.4625,-13.3231,,enc,
1786626478.347111,0.1466,33.09421920776367,28.00279998779297,0.1791,-0.0865,14.3000,-3.4808,-13.3358,,enc,
1786626478.353125,0.0060,33.09421920776367,28.00279998779297,0.1791,-0.0865,14.3008,-3.4815,-13.3363,,enc,
1786626478.424557,0.0714,32.87419509887695,27.731863021850586,0.1777,-0.0874,14.3098,-3.4904,-13.3425,,enc,
1786626478.527783,0.1032,33.27605438232422,27.275455474853516,0.1775,-0.1020,14.3228,-3.5034,-13.3531,,enc,
1786626478.672725,0.1449,34.34343338012695,26.262624740600586,0.1777,-0.1374,14.3406,-3.5220,-13.3730,,enc,
1786626478.725528,0.0528,34.36707305908203,26.366273880004883,0.1781,-0.1360,14.3470,-3.5288,-13.3802,,enc,
