t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786521079.758801,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521079.854715,0.0959,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521079.954015,0.0993,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521080.054827,0.1008,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521080.160418,0.1056,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521080.271583,0.1112,-0.0,-0.0,-0.0000,0.0000,0.0191,-1.3630,14.7709,,enc,
1786521080.366705,0.0951,3.81856369972229,-0.0,0.0112,-0.0649,0.0185,-1.3621,14.7647,,enc,
1786521080.479159,0.1125,27.731863021850586,-0.0,0.0813,-0.4714,0.0135,-1.3545,14.7117,,enc,
1786521080.561573,0.0824,26.184436798095703,-0.0,0.0768,-0.4451,0.0103,-1.3490,14.6750,,enc,
1786521080.668776,0.1072,25.820762634277344,-3.273054599761963,0.0661,-0.4945,0.0070,-1.3428,14.6220,,enc,
1786521080.761875,0.0931,27.548208236694336,-24.24242401123047,0.0097,-0.8803,0.0067,-1.3419,14.5400,,enc,
1786521080.866746,0.1049,27.639127731323242,-22.9113826751709,0.0139,-0.8593,0.0062,-1.3405,14.4499,,enc,
1786521080.965580,0.0988,27.548208236694336,-22.77318572998047,0.0140,-0.8554,0.0059,-1.3392,14.3654,,enc,
1786521081.069608,0.1040,27.09362030029297,-22.365873336791992,0.0139,-0.8407,0.0057,-1.3378,14.2779,,enc,
1786521081.163064,0.0935,27.18090057373047,-22.4058780670166,0.0140,-0.8429,0.0056,-1.3365,14.1991,,enc,
1786521081.263415,0.1004,26.997243881225586,-22.03856658935547,0.0145,-0.8335,0.0056,-1.3350,14.1155,,enc,
1786521081.369121,0.1057,26.91178321838379,-22.54770851135254,0.0128,-0.8407,0.0058,-1.3337,14.0266,,enc,
1786521081.468107,0.0990,26.287832260131836,-7.562252998352051,0.0549,-0.5754,0.0067,-1.3283,13.9697,,enc,
1786521081.567013,0.0989,26.002599716186523,-0.0,0.0762,-0.4420,0.0083,-1.3209,13.9260,,enc,
1786521081.667812,0.1008,25.63892936706543,-0.0,0.0752,-0.4358,0.0102,-1.3136,13.8820,,enc,
1786521081.815008,0.1472,26.078969955444336,-0.0,0.0765,-0.4433,0.0137,-1.3029,13.8168,,enc,
1786521081.869064,0.0541,26.002599716186523,-0.0,0.0762,-0.4420,0.0151,-1.2990,13.7929,,enc,
1786521081.968862,0.0998,25.89531707763672,-0.0,0.0759,-0.4402,0.0180,-1.2920,13.7490,,enc,
