t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src
1785931107.155111,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,enc
1785931107.214588,0.0595,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.317271,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.415626,0.0984,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.566315,0.1507,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.667056,0.1007,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.729651,0.0626,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.863020,0.1334,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931107.935752,0.0727,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.022707,0.0870,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.131989,0.1093,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.225069,0.0931,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.327549,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.430221,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.530828,0.1006,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.642204,0.1114,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.756667,0.1145,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931108.996979,0.2403,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.051630,0.0547,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.248541,0.1969,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.517587,0.2690,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.520222,0.0026,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.564704,0.0445,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,125.0000,imu
1785931109.822208,0.2575,31.094018936157227,29.093820571899414,0.1765,-0.0340,0.0454,-0.0001,-0.0022,125.1250,imu
1785931109.824367,0.0022,35.458091735839844,32.912384033203125,0.2005,-0.0433,0.0459,-0.0001,-0.0044,125.2500,imu
1785931110.028564,0.2042,35.2617073059082,32.6905403137207,0.1992,-0.0437,0.0866,-0.0002,-0.0033,125.1875,imu
1785931110.066321,0.0378,34.8943977355957,32.6905403137207,0.1982,-0.0375,0.0940,-0.0002,-0.0011,125.0625,imu
1785931110.540006,0.4737,35.07805252075195,32.50688552856445,0.1982,-0.0437,0.1879,-0.0003,-0.0011,125.0625,imu
1785931110.578485,0.0385,34.91258239746094,32.548709869384766,0.1978,-0.0402,0.1955,-0.0003,0.0000,125.0000,imu
1785931110.752313,0.1738,34.8943977355957,32.3232307434082,0.1971,-0.0437,0.2298,-0.0003,0.0000,125.0000,imu
1785931110.799166,0.0469,34.7503547668457,32.5897102355957,0.1975,-0.0367,0.2390,-0.0003,0.0011,124.9375,imu
1785931110.802311,0.0031,34.73074722290039,32.36687469482422,0.1967,-0.0402,0.2397,-0.0003,0.0120,124.3125,imu
1785931111.006938,0.2046,34.5703010559082,32.4096565246582,0.1964,-0.0367,0.2798,0.0007,0.0262,123.5000,imu
1785931111.058592,0.0517,34.5703010559082,32.7697639465332,0.1975,-0.0306,0.2900,0.0011,0.0393,122.7500,imu
1785931111.255594,0.1970,34.3902473449707,32.5897102355957,0.1964,-0.0306,0.3287,0.0032,0.0545,121.8750,imu
1785931111.257582,0.0020,34.34343338012695,32.6905403137207,0.1966,-0.0281,0.3290,0.0033,0.0709,120.9375,imu
1785931111.313020,0.0554,34.2101936340332,32.4096565246582,0.1953,-0.0306,0.3398,0.0042,0.0884,119.9375,imu
1785931111.511747,0.1987,34.34343338012695,32.50688552856445,0.1960,-0.0312,0.3786,0.0084,0.1080,118.8125,imu
1785931111.570152,0.0584,34.0301399230957,32.4096565246582,0.1948,-0.0275,0.3898,0.0099,0.1298,117.5625,imu
