t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786708418.867357,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708418.980980,0.1136,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.032941,0.0520,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.134347,0.1014,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.317299,0.1830,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.345474,0.0282,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.439383,0.0939,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708419.596507,0.1571,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708419.642630,0.0461,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708419.742569,0.0999,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708419.878442,0.1359,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708419.947461,0.0690,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.049821,0.1024,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.149275,0.0995,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.254418,0.1051,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.355370,0.1010,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.454751,0.0994,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.560058,0.1053,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.660018,0.1000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.762102,0.1021,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708420.860139,0.0980,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708420.964400,0.1043,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708421.064889,0.1005,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708421.167747,0.1029,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708421.269830,0.1021,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708421.372176,0.1023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6213,enc,
1786708421.473304,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708421.576043,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6212,enc,
1786708421.678414,0.1024,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6149,enc,
1786708421.779427,0.1010,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6110,enc,
1786708421.884822,0.1054,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708421.984415,0.0996,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5983,enc,
1786708422.087106,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5982,enc,
1786708422.190433,0.1033,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5980,enc,
1786708422.292497,0.1021,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5982,enc,
1786708422.397800,0.1053,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5982,enc,
1786708422.498682,0.1009,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5980,enc,
1786708422.599355,0.1007,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5980,enc,
1786708422.696171,0.0968,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5979,enc,
1786708422.803612,0.1074,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.5979,enc,
1786708422.899834,0.0962,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6042,enc,
1786708423.003484,0.1037,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6043,enc,
1786708423.101389,0.0979,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6043,enc,
1786708423.205573,0.1042,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6043,enc,
1786708423.302507,0.0969,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6043,enc,
1786708423.408133,0.1056,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6044,enc,
1786708423.507568,0.0994,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6044,enc,
1786708423.608194,0.1006,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6044,enc,
1786708423.710041,0.1018,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6044,enc,
1786708423.989491,0.2794,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708423.989539,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708424.010371,0.0208,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708424.112000,0.1016,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708424.210264,0.0983,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708424.312601,0.1023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708424.411766,0.0992,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708424.512286,0.1005,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708424.614787,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708424.715349,0.1006,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708424.815561,0.1002,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708424.917550,0.1020,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.018694,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.118518,0.0998,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.217669,0.0992,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.325644,0.1080,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.426187,0.1005,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.528269,0.1021,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6047,enc,
1786708425.630268,0.1020,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708425.730677,0.1004,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708425.838068,0.1074,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708425.936248,0.0982,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.033428,0.0972,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.170747,0.1373,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.238457,0.0677,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.339706,0.1012,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.506192,0.1665,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.544402,0.0382,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.650799,0.1064,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.842627,0.1918,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6045,enc,
1786708426.853197,0.0106,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
1786708426.951736,0.0985,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,157.6046,enc,
