t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786343649.991537,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,192.2500,enc,0.0000
1786343650.085227,0.0937,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,192.2500,enc,0.0000
1786343650.190421,0.1052,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,192.2500,enc,0.0000
1786343650.300578,0.1102,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,192.2500,enc,0.0000
1786343650.396380,0.0958,0.04551073908805847,0.17857180535793304,0.0007,0.0023,0.0001,-0.0000,0.0002,192.2500,enc,-0.0001
1786343650.500774,0.1044,1.005297303199768,3.345851182937622,0.0128,0.0398,0.0014,-0.0000,0.0011,192.1875,imu,-0.0002
1786343650.607257,0.1065,3.5802597999572754,8.355990409851074,0.0350,0.0812,0.0051,-0.0001,0.0131,191.5000,imu,-0.0009
1786343650.715748,0.1085,4.811166286468506,10.585722923278809,0.0451,0.0982,0.0100,0.0001,0.0262,190.7500,imu,0.0001
1786343650.816694,0.1009,6.1696672439575195,13.37692642211914,0.0573,0.1225,0.0158,0.0003,0.0371,190.1250,imu,0.0007
1786343650.915349,0.0987,6.620506286621094,16.01659393310547,0.0664,0.1597,0.0223,0.0008,0.0622,188.6875,imu,0.0005
1786343651.015031,0.0997,6.086609840393066,16.841575622558594,0.0672,0.1828,0.0290,0.0014,0.0894,187.1250,imu,0.0000
1786343651.148825,0.1338,6.870377540588379,20.16390037536621,0.0793,0.2260,0.0395,0.0027,0.1200,185.3750,imu,0.0003
1786343651.237104,0.0883,6.91775369644165,20.434410095214844,0.0802,0.2298,0.0465,0.0038,0.1549,183.3750,imu,-0.0003
1786343651.341500,0.1044,6.484014511108398,19.283512115478516,0.0756,0.2176,0.0543,0.0053,0.1844,181.6875,imu,0.0010
1786343651.430769,0.0893,6.24664306640625,23.012609481811523,0.0858,0.2850,0.0617,0.0069,0.2214,179.5625,imu,-0.0008
1786343651.541452,0.1107,6.179126739501953,24.263761520385742,0.0893,0.3074,0.0713,0.0094,0.2563,177.5625,imu,-0.0002
1786343651.637304,0.0959,5.665566921234131,26.296348571777344,0.0937,0.3507,0.0799,0.0122,0.3076,174.6250,imu,0.0004
1786343651.739962,0.1027,4.416368007659912,25.545976638793945,0.0879,0.3592,0.0883,0.0154,0.3611,171.5625,imu,0.0004
1786343651.872256,0.1323,4.62929630279541,29.021862030029297,0.0987,0.4146,0.1002,0.0207,0.4145,168.5000,imu,0.0004
1786343651.950284,0.0780,6.3804030418396,29.19554901123047,0.1043,0.3878,0.1074,0.0245,0.4778,164.8750,imu,0.0009
1786343652.057554,0.1073,8.34439754486084,26.096529006958008,0.1010,0.3018,0.1168,0.0299,0.5214,162.3750,imu,0.0005
1786343652.158694,0.1011,9.012443542480469,27.8840274810791,0.1082,0.3208,0.1260,0.0358,0.5651,159.8750,imu,-0.0004
1786343652.257818,0.0991,10.026789665222168,27.631683349609375,0.1104,0.2992,0.1351,0.0419,0.6043,157.6250,imu,-0.0007
1786343652.362947,0.1051,8.694575309753418,27.308399200439453,0.1056,0.3164,0.1440,0.0486,0.6447,155.3125,imu,-0.0006
1786343652.476267,0.1133,4.980663299560547,24.72820472717285,0.0871,0.3357,0.1516,0.0548,0.6927,152.5625,imu,-0.0004
1786343652.567184,0.0909,3.326101064682007,27.019254684448242,0.0890,0.4027,0.1575,0.0604,0.7505,149.2500,imu,0.0009
