t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src
1786011838.544551,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011838.642694,0.0981,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011838.722287,0.0796,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011838.816723,0.0944,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011839.012985,0.1963,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011839.019725,0.0067,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc
1786011839.259814,0.2401,14.183237075805664,10.910181999206543,0.0736,-0.0556,0.0177,-0.0002,-0.0134,,enc
1786011839.272451,0.0126,28.282827377319336,22.95684051513672,0.1502,-0.0905,0.0196,-0.0003,-0.0145,,enc
1786011839.314664,0.0422,27.36455535888672,22.22222137451172,0.1454,-0.0874,0.0257,-0.0004,-0.0182,,enc
1786011839.506922,0.1923,30.366674423217773,22.54770851135254,0.1552,-0.1329,0.0555,-0.0017,-0.0437,,enc
1786011839.537015,0.0301,31.221303939819336,22.77318572998047,0.1583,-0.1436,0.0603,-0.0019,-0.0481,,enc
1786011839.736839,0.1998,31.037647247314453,22.95684051513672,0.1583,-0.1374,0.0918,-0.0043,-0.0755,,enc
1786011839.755076,0.0182,30.789175033569336,23.04686737060547,0.1579,-0.1316,0.0947,-0.0045,-0.0779,,enc
1786011839.821458,0.0664,30.912181854248047,22.9113826751709,0.1578,-0.1360,0.1051,-0.0054,-0.0869,,enc
1786011839.978497,0.1570,33.24150466918945,23.14049530029297,0.1653,-0.1717,0.1309,-0.0084,-0.1139,,enc
1786011840.021216,0.0427,33.3431396484375,23.179723739624023,0.1657,-0.1728,0.1379,-0.0092,-0.1213,,enc
1786011840.231763,0.2105,32.9498176574707,23.04686737060547,0.1642,-0.1683,0.1721,-0.0146,-0.1567,,enc
1786011840.243722,0.0120,32.7697639465332,22.86681365966797,0.1631,-0.1683,0.1740,-0.0149,-0.1587,,enc
1786011840.477378,0.2337,33.24150466918945,23.50780487060547,0.1664,-0.1655,0.2121,-0.0226,-0.1974,,enc
1786011840.484510,0.0071,33.7924690246582,24.05876922607422,0.1696,-0.1655,0.2133,-0.0228,-0.1986,,enc
1786011840.531855,0.0473,33.821563720703125,24.00240135192871,0.1695,-0.1669,0.2212,-0.0244,-0.2065,,enc
1786011840.754613,0.2228,33.4251594543457,24.793386459350586,0.1707,-0.1467,0.2581,-0.0335,-0.2392,,enc
1786011840.763278,0.0087,33.821563720703125,25.09341812133789,0.1727,-0.1484,0.2596,-0.0338,-0.2404,,enc
1786011841.001462,0.2382,33.7924690246582,24.97704315185547,0.1723,-0.1498,0.2991,-0.0450,-0.2761,,enc
1786011841.024731,0.0233,33.4251594543457,25.344350814819336,0.1723,-0.1374,0.3029,-0.0461,-0.2793,,enc
1786011841.039875,0.0151,33.60881423950195,24.97704315185547,0.1718,-0.1467,0.3054,-0.0468,-0.2816,,enc
1786011841.301847,0.2620,33.24150466918945,27.36455535888672,0.1777,-0.0999,0.3498,-0.0609,-0.3077,,enc
1786011841.327170,0.0253,33.0578498840332,27.36455535888672,0.1772,-0.0968,0.3541,-0.0623,-0.3102,,enc
1786011841.488446,0.1613,33.27605438232422,27.457292556762695,0.1781,-0.0989,0.3813,-0.0715,-0.3261,,enc
1786011841.493532,0.0051,32.9498176574707,27.36815643310547,0.1769,-0.0949,0.3821,-0.0718,-0.3266,,enc
1786011841.532926,0.0394,33.09421920776367,27.457292556762695,0.1775,-0.0958,0.3887,-0.0741,-0.3304,,enc
1786011841.758639,0.2257,32.50688552856445,28.466482162475586,0.1788,-0.0687,0.4267,-0.0877,-0.3459,,enc
1786011841.762120,0.0035,32.73054504394531,28.730146408081055,0.1802,-0.0680,0.4273,-0.0880,-0.3461,,enc
1786011841.996986,0.2349,32.6905403137207,28.650136947631836,0.1799,-0.0687,0.4668,-0.1029,-0.3623,,enc
1786011842.004709,0.0077,32.548709869384766,28.366474151611328,0.1786,-0.0711,0.4681,-0.1034,-0.3628,,enc
1786011842.060010,0.0553,32.548709869384766,28.548309326171875,0.1791,-0.0680,0.4773,-0.1070,-0.3666,,enc
1786011842.265257,0.2052,31.221303939819336,28.833791732788086,0.1761,-0.0406,0.5110,-0.1202,-0.3749,,enc
1786011842.265312,0.0001,30.119375228881836,29.201101303100586,0.1739,-0.0156,0.5110,-0.1202,-0.3749,,enc
1786011842.333383,0.0681,29.568410873413086,29.201101303100586,0.1723,-0.0062,0.5219,-0.1245,-0.3753,,enc
1786011842.499239,0.1659,27.548208236694336,29.752065658569336,0.1680,0.0375,0.5479,-0.1346,-0.3691,,enc
1786011842.534956,0.0357,27.731863021850586,29.568410873413086,0.1680,0.0312,0.5535,-0.1367,-0.3680,,enc
1786011842.789172,0.2542,27.548208236694336,29.752065658569336,0.1680,0.0375,0.5935,-0.1517,-0.3585,,enc
1786011842.799689,0.0105,26.184436798095703,30.54850959777832,0.1663,0.0742,0.5951,-0.1523,-0.3577,,enc
1786011842.997185,0.1975,25.45709228515625,30.366674423217773,0.1637,0.0835,0.6256,-0.1631,-0.3412,,enc
1786011843.001755,0.0046,25.45709228515625,30.54850959777832,0.1642,0.0865,0.6263,-0.1634,-0.3408,,enc
1786011843.052904,0.0511,25.45709228515625,30.54850959777832,0.1642,0.0865,0.6342,-0.1662,-0.3364,,enc
1786011843.255203,0.2023,24.42607879638672,30.670339584350586,0.1616,0.1061,0.6653,-0.1763,-0.3149,,enc
1786011843.266982,0.0118,24.05876922607422,30.853992462158203,0.1610,0.1155,0.6671,-0.1769,-0.3136,,enc
1786011843.338254,0.0713,23.87511444091797,30.853992462158203,0.1605,0.1186,0.6780,-0.1803,-0.3051,,enc
1786011843.576668,0.2384,23.69145965576172,30.670339584350586,0.1594,0.1186,0.7145,-0.1907,-0.2768,,enc
1786011843.581015,0.0043,23.69145965576172,31.037647247314453,0.1605,0.1249,0.7152,-0.1909,-0.2763,,enc
1786011843.638008,0.0570,23.456892013549805,30.7303466796875,0.1589,0.1236,0.7239,-0.1933,-0.2692,,enc
1786011843.738637,0.1006,23.69145965576172,30.853992462158203,0.1599,0.1217,0.7395,-0.1974,-0.2570,,enc
1786011843.837917,0.0993,24.05876922607422,30.670339584350586,0.1605,0.1124,0.7550,-0.2013,-0.2458,,enc
1786011843.939098,0.1012,23.69145965576172,30.486684799194336,0.1589,0.1155,0.7706,-0.2050,-0.2341,,enc
1786011844.039224,0.1001,23.82056427001953,30.54850959777832,0.1594,0.1144,0.7862,-0.2085,-0.2227,,enc
1786011844.138654,0.0994,23.69145965576172,30.486684799194336,0.1589,0.1155,0.8016,-0.2118,-0.2112,,enc
1786011844.246861,0.1082,24.609731674194336,30.303028106689453,0.1610,0.0968,0.8187,-0.2153,-0.2007,,enc
1786011844.356545,0.1097,24.793386459350586,30.303028106689453,0.1616,0.0937,0.8361,-0.2186,-0.1905,,enc
1786011844.444216,0.0877,24.609731674194336,30.119375228881836,0.1605,0.0937,0.8499,-0.2212,-0.1822,,enc
1786011844.540076,0.0959,24.609731674194336,30.119375228881836,0.1605,0.0937,0.8651,-0.2238,-0.1733,,enc
1786011844.643262,0.1032,25.528005599975586,30.119375228881836,0.1632,0.0780,0.8817,-0.2266,-0.1652,,enc
1786011844.744456,0.1012,27.280750274658203,29.598724365234375,0.1668,0.0394,0.8983,-0.2293,-0.1612,,enc
1786011844.843604,0.0991,27.008047103881836,29.888906478881836,0.1668,0.0490,0.9147,-0.2319,-0.1564,,enc
1786011844.946339,0.1027,27.36815643310547,29.52880096435547,0.1668,0.0367,0.9316,-0.2345,-0.1526,,enc
1786011845.048611,0.1023,28.548309326171875,29.275653839111328,0.1695,0.0124,0.9488,-0.2371,-0.1513,,enc
1786011845.151336,0.1027,28.268423080444336,29.168691635131836,0.1684,0.0153,0.9659,-0.2397,-0.1498,,enc
1786011845.268284,0.1169,28.268423080444336,29.168691635131836,0.1684,0.0153,0.9853,-0.2426,-0.1480,,enc
1786011845.361204,0.0929,28.099172592163086,29.201101303100586,0.1680,0.0187,1.0008,-0.2449,-0.1462,,enc
1786011845.534541,0.1733,28.988637924194336,28.988637924194336,0.1700,0.0000,1.0299,-0.2492,-0.1462,,enc
1786011845.566034,0.0315,28.80858612060547,28.80858612060547,0.1689,0.0000,1.0352,-0.2499,-0.1462,,enc
1786011845.664660,0.0986,29.201101303100586,29.201101303100586,0.1712,0.0000,1.0519,-0.2524,-0.1462,,enc
1786011845.755827,0.0912,28.466482162475586,28.466482162475586,0.1669,0.0000,1.0670,-0.2546,-0.1462,,enc
1786011845.853975,0.0981,29.017446517944336,28.833791732788086,0.1696,-0.0031,1.0834,-0.2571,-0.1465,,enc
1786011845.957623,0.1036,29.168691635131836,28.628530502319336,0.1695,-0.0092,1.1008,-0.2596,-0.1475,,enc
1786011846.090106,0.1325,28.988637924194336,28.80858612060547,0.1695,-0.0031,1.1230,-0.2629,-0.1479,,enc
1786011846.161436,0.0713,27.731863021850586,28.466482162475586,0.1648,0.0125,1.1346,-0.2647,-0.1470,,enc
1786011846.289134,0.1277,24.97704315185547,28.099172592163086,0.1556,0.0531,1.1543,-0.2674,-0.1402,,enc
1786011846.391091,0.1020,25.16069793701172,28.099172592163086,0.1562,0.0499,1.1701,-0.2696,-0.1351,,enc
1786011846.467647,0.0766,25.02745819091797,28.08837127685547,0.1557,0.0520,1.1819,-0.2711,-0.1311,,enc
1786011846.564484,0.0968,25.20751190185547,27.908315658569336,0.1557,0.0459,1.1969,-0.2731,-0.1267,,enc
1786011846.673316,0.1088,26.54810905456543,28.18463706970215,0.1605,0.0278,1.2142,-0.2752,-0.1237,,enc
1786011846.763925,0.0906,26.997243881225586,28.282827377319336,0.1621,0.0219,1.2288,-0.2770,-0.1217,,enc
1786011846.866559,0.1026,27.008047103881836,28.268423080444336,0.1621,0.0214,1.2453,-0.2790,-0.1195,,enc
1786011846.965156,0.0986,26.813589096069336,28.282827377319336,0.1616,0.0250,1.2611,-0.2808,-0.1170,,enc
1786011847.065912,0.1008,27.548208236694336,27.731863021850586,0.1621,0.0031,1.2774,-0.2827,-0.1167,,enc
1786011847.167615,0.1017,28.282827377319336,26.813589096069336,0.1616,-0.0250,1.2937,-0.2847,-0.1193,,enc
1786011847.268413,0.1008,28.08837127685547,27.008047103881836,0.1616,-0.0184,1.3098,-0.2867,-0.1211,,enc
1786011847.379635,0.1112,28.466482162475586,26.44628143310547,0.1610,-0.0343,1.3276,-0.2889,-0.1249,,enc
1786011847.482277,0.1026,28.628530502319336,25.92772674560547,0.1600,-0.0459,1.3439,-0.2910,-0.1296,,enc
