t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786520967.880532,0.0000,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520967.939511,0.0590,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520968.038610,0.0991,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520968.211398,0.1728,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520968.240048,0.0287,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520968.337061,0.0970,-0.0,-0.0,-0.0000,0.0000,0.4420,1.2001,10.5744,,enc,
1786520968.544994,0.2079,9.3663911819458,8.44811725616455,0.0522,-0.0156,0.4375,1.1902,10.5712,,enc,
1786520968.570747,0.0258,28.099172592163086,25.16069793701172,0.1562,-0.0499,0.4359,1.1866,10.5699,,enc,
1786520968.643483,0.0727,27.09362030029297,24.00240135192871,0.1498,-0.0525,0.4313,1.1766,10.5661,,enc,
1786520968.974752,0.3313,26.72994613647461,23.82056427001953,0.1482,-0.0495,0.4102,1.1323,10.5497,,enc,
1786520968.974854,0.0001,26.86800765991211,23.97714614868164,0.1491,-0.0491,0.4102,1.1323,10.5497,,enc,
1786520969.016618,0.0418,26.54810905456543,24.00240135192871,0.1482,-0.0433,0.4075,1.1267,10.5479,,enc,
1786520969.068021,0.0514,27.18090057373047,27.731863021850586,0.1610,0.0094,0.4039,1.1193,10.5483,,enc,
1786520969.208184,0.1402,26.91178321838379,27.639127731323242,0.1600,0.0124,0.3942,1.0991,10.5501,,enc,
1786520969.253723,0.0455,26.997243881225586,27.18090057373047,0.1589,0.0031,0.3911,1.0925,10.5502,,enc,
1786520969.357169,0.1034,26.44628143310547,28.650136947631836,0.1616,0.0375,0.3840,1.0774,10.5541,,enc,
