t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786429206.369878,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429206.473887,0.1040,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429206.605296,0.1314,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429206.887812,0.2825,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429206.984311,0.0965,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429207.047800,0.0635,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,268.7500,enc,0.0000
1786429207.095769,0.0480,0.2896231710910797,0.026675816625356674,0.0009,-0.0045,0.0000,-0.0000,-0.0002,268.7500,enc,-0.0002
1786429207.226176,0.1304,2.8692188262939453,0.264270156621933,0.0092,-0.0443,0.0012,0.0002,-0.0033,268.9375,imu,0.0013
1786429207.308438,0.0823,5.449978351593018,0.5019716620445251,0.0175,-0.0841,0.0027,0.0002,-0.0120,269.4375,imu,0.0004
1786429207.406327,0.0979,7.25093412399292,0.6678491830825806,0.0232,-0.1119,0.0050,0.0001,-0.0251,270.1875,imu,-0.0004
1786429207.529287,0.1230,7.637813091278076,0.7034828066825867,0.0245,-0.1179,0.0080,-0.0001,-0.0415,271.1250,imu,-0.0002
1786429207.615049,0.0858,6.882400035858154,0.6339052319526672,0.0220,-0.1062,0.0098,-0.0002,-0.0567,272.0000,imu,0.0001
1786429207.716796,0.1017,7.324088096618652,0.674587070941925,0.0235,-0.1130,0.0122,-0.0003,-0.0742,273.0000,imu,0.0000
1786429207.846695,0.1299,7.1704912185668945,0.6604399681091309,0.0230,-0.1107,0.0152,-0.0006,-0.0905,273.9375,imu,0.0000
1786429207.931039,0.0843,6.419803619384766,0.5912976861000061,0.0206,-0.0991,0.0169,-0.0008,-0.1047,274.7500,imu,-0.0001
1786429208.025508,0.0945,6.858786582946777,0.631730318069458,0.0220,-0.1058,0.0190,-0.0011,-0.1189,275.5625,imu,-0.0004
1786429208.151572,0.1261,7.063294410705566,0.650566577911377,0.0226,-0.1090,0.0218,-0.0015,-0.1353,276.5000,imu,-0.0001
1786429208.247567,0.0960,5.0111470222473145,0.46155303716659546,0.0160,-0.0773,0.0233,-0.0017,-0.1484,277.2500,imu,0.0001
1786429208.339833,0.0923,2.286320447921753,0.21058213710784912,0.0073,-0.0353,0.0240,-0.0018,-0.1560,277.6875,imu,0.0000
1786429208.473071,0.1332,0.173924520611763,0.016019362956285477,0.0006,-0.0027,0.0241,-0.0018,-0.1563,277.7500,enc,0.0000
