t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786429574.483663,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429574.575355,0.0917,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429574.790330,0.2150,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429574.901676,0.1113,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429575.070412,0.1687,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429575.122701,0.0523,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429575.263982,0.1413,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,316.7500,enc,0.0000
1786429575.480877,0.2169,0.09065606445074081,0.35570982098579407,0.0013,0.0045,0.0003,0.0001,0.0010,316.7500,enc,0.0006
1786429575.509248,0.0284,0.2880308926105499,2.8121516704559326,0.0091,0.0429,0.0005,0.0002,0.0033,316.5625,imu,0.0027
1786429575.613740,0.1045,0.5768446922302246,5.950547695159912,0.0191,0.0913,0.0025,0.0003,0.0142,315.9375,imu,0.0009
1786429575.797270,0.1835,1.019379734992981,7.613492488861084,0.0253,0.1121,0.0072,0.0003,0.0327,314.8750,imu,-0.0012
1786429575.876073,0.0788,1.7583048343658447,7.104923725128174,0.0260,0.0909,0.0092,0.0004,0.0458,314.1250,imu,0.0003
1786429575.941031,0.0650,1.9412657022476196,7.376885414123535,0.0273,0.0924,0.0110,0.0005,0.0578,313.4375,imu,0.0010
1786429576.019871,0.0788,1.584207534790039,7.147747993469238,0.0256,0.0946,0.0130,0.0007,0.0687,312.8125,imu,0.0000
1786429576.241548,0.2217,1.4910117387771606,7.112715244293213,0.0252,0.0956,0.0186,0.0011,0.0807,312.1250,imu,-0.0003
1786429576.327785,0.0862,1.2808259725570679,6.683554649353027,0.0234,0.0918,0.0206,0.0012,0.0960,311.2500,imu,-0.0007
1786429576.509327,0.1815,1.1011183261871338,7.2218708992004395,0.0244,0.1040,0.0250,0.0016,0.1113,310.3750,imu,-0.0004
1786429576.549697,0.0404,0.9567233324050903,6.916866779327393,0.0231,0.1013,0.0259,0.0018,0.1254,309.5625,imu,0.0015
1786429576.699132,0.1494,0.7486863136291504,5.292796611785889,0.0177,0.0772,0.0285,0.0023,0.1374,308.8750,imu,0.0008
1786429576.722796,0.0237,0.2822437286376953,2.7497613430023193,0.0089,0.0419,0.0287,0.0023,0.1451,308.4375,imu,-0.0001
1786429576.907394,0.1846,0.03780186548829079,0.4104202389717102,0.0013,0.0063,0.0290,0.0023,0.1462,308.3750,enc,-0.0002
1786429577.031016,0.1236,0.0,0.0,0.0000,0.0000,0.0290,0.0023,0.1462,308.3750,enc,0.0000
1786429577.059729,0.0287,0.0,0.0,0.0000,0.0000,0.0290,0.0023,0.1462,308.3750,enc,0.0000
1786429577.251647,0.1919,-0.029121549800038338,-0.002682248130440712,-0.0001,0.0004,0.0290,0.0023,0.1463,308.3750,enc,0.0001
1786429577.353864,0.1022,-0.028993917629122734,-0.0026704922784119844,-0.0001,0.0004,0.0290,0.0023,0.1464,308.3750,enc,-0.0001
1786429577.392833,0.0390,0.0,0.0,0.0000,0.0000,0.0290,0.0023,0.1464,308.3750,enc,0.0000
1786429577.560667,0.1678,0.1582825779914856,1.4041815996170044,0.0046,0.0212,0.0297,0.0025,0.1475,308.3125,imu,0.0007
1786429577.664652,0.1040,0.925512969493866,4.757661819458008,0.0167,0.0651,0.0314,0.0026,0.1573,307.7500,imu,-0.0017
1786429577.732446,0.0678,1.2975469827651978,7.149229526519775,0.0248,0.0995,0.0331,0.0027,0.1704,307.0000,imu,-0.0026
1786429577.984620,0.2522,1.5298651456832886,7.811031341552734,0.0274,0.1068,0.0400,0.0037,0.1835,306.2500,imu,-0.0012
1786429577.984698,0.0001,1.661279559135437,6.741757869720459,0.0246,0.0864,0.0400,0.0037,0.1987,305.3750,imu,0.0019
1786429578.045287,0.0606,1.356548547744751,7.1567769050598145,0.0250,0.0986,0.0414,0.0041,0.2118,304.6250,imu,0.0019
1786429578.272768,0.2275,0.9254263639450073,6.917552471160889,0.0230,0.1019,0.0465,0.0056,0.2260,303.8125,imu,0.0012
1786429578.340317,0.0675,1.1854491233825684,7.195167541503906,0.0246,0.1022,0.0481,0.0060,0.2413,302.9375,imu,0.0000
1786429578.400006,0.0597,1.4288794994354248,6.690699577331543,0.0238,0.0894,0.0495,0.0062,0.2566,302.0625,imu,-0.0017
1786429578.613311,0.2133,0.986922562122345,5.668636798858643,0.0195,0.0796,0.0536,0.0071,0.2653,301.5625,imu,-0.0013
1786429578.718708,0.1054,-4.466578483581543,2.121013641357422,-0.0069,0.1120,0.0529,0.0068,0.2762,300.9375,imu,-0.0009
1786429579.203757,0.4850,-14.801368713378906,-1.1901001930236816,-0.0469,0.2314,0.0313,-0.0003,0.3100,299.0000,imu,-0.0003
1786429579.535800,0.3320,-27.49795150756836,-4.477754592895508,-0.0938,0.3913,0.0022,-0.0114,0.3602,296.1250,imu,-0.0004
1786429579.734960,0.1992,-34.51368713378906,-7.6105170249938965,-0.1235,0.4573,-0.0202,-0.0215,0.4202,292.6875,imu,-0.0003
1786429579.840005,0.1050,-37.07782745361328,-9.335859298706055,-0.1361,0.4716,-0.0328,-0.0282,0.4944,288.4375,imu,0.0005
1786429580.758784,0.9188,-33.826419830322266,-8.811807632446289,-0.1250,0.4252,-0.1307,-0.0884,0.5587,284.7500,imu,0.0009
1786429580.999839,0.2411,-35.30458068847656,-9.408573150634766,-0.1311,0.4402,-0.1566,-0.1065,0.6176,281.3750,imu,0.0007
1786429581.229982,0.2301,-33.91141891479492,-9.007194519042969,-0.1258,0.4233,-0.1790,-0.1248,0.6798,277.8125,imu,-0.0005
1786429581.470397,0.2404,-33.73045349121094,-8.39157485961914,-0.1235,0.4307,-0.2011,-0.1447,0.7332,274.7500,imu,-0.0001
1786429581.558968,0.0886,-32.30967712402344,-7.719997406005859,-0.1174,0.4180,-0.2048,-0.1544,1.2078,247.5625,imu,0.0000
1786429581.881182,0.3222,-16.41512107849121,0.604931652545929,-0.0464,0.2893,-0.2097,-0.1685,1.2601,244.5625,imu,0.0012
1786429582.182775,0.3016,0.3271416425704956,4.496465682983398,0.0141,0.0709,-0.2087,-0.1644,1.2699,244.0000,imu,0.0008
1786429582.374878,0.1921,2.028916835784912,7.886348724365234,0.0291,0.0996,-0.2074,-0.1590,1.3376,240.1250,imu,0.0001
1786429582.561833,0.1870,1.6071536540985107,7.036070346832275,0.0253,0.0923,-0.2063,-0.1544,1.3517,239.3125,imu,-0.0004
1786429582.901814,0.3400,1.4732658863067627,7.874470233917236,0.0274,0.1088,-0.2044,-0.1452,1.3659,238.5000,imu,-0.0001
