t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785240683.883556,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240683.949955,0.0664,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.055898,0.1059,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.254733,0.1988,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.435786,0.1811,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.452935,0.0171,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.509153,0.0562,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.589195,0.0800,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785240684.676969,0.0878,19.65105628967285,-0.0,0.0576,-0.3340,0.0051,-0.0001,-0.0293
1785240684.794911,0.1179,28.80858612060547,-0.0,0.0845,-0.4897,0.0150,-0.0010,-0.0871
1785240684.871900,0.0770,27.728261947631836,-0.0,0.0813,-0.4713,0.0212,-0.0018,-0.1234
1785240684.984876,0.1130,29.708852767944336,-0.0,0.0871,-0.5050,0.0309,-0.0036,-0.1804
1785240685.075279,0.0904,32.4096565246582,-0.0,0.0950,-0.5509,0.0392,-0.0055,-0.2302
1785240685.174809,0.0995,32.22960662841797,-0.0,0.0945,-0.5478,0.0483,-0.0082,-0.2847
1785240685.319037,0.1442,32.22960662841797,-0.0,0.0945,-0.5478,0.0610,-0.0130,-0.3638
1785240685.440274,0.1212,32.7697639465332,-0.0,0.0961,-0.5570,0.0716,-0.0179,-0.4313
1785240685.475726,0.0355,34.5703010559082,-0.0,0.1014,-0.5876,0.0748,-0.0194,-0.4521
1785240685.584460,0.1087,34.5270881652832,-0.0,0.1012,-0.5869,0.0844,-0.0249,-0.5159
1785240685.676429,0.0920,34.2101936340332,-0.0,0.1003,-0.5815,0.0922,-0.0298,-0.5694
1785240685.779112,0.1027,34.2101936340332,-0.0,0.1003,-0.5815,0.1005,-0.0359,-0.6291
1785240685.881333,0.1022,34.2101936340332,-0.0,0.1003,-0.5815,0.1084,-0.0424,-0.6886
1785240685.982888,0.1016,34.2101936340332,-0.0,0.1003,-0.5815,0.1159,-0.0493,-0.7476
1785240686.090326,0.1074,34.2101936340332,-0.0,0.1003,-0.5815,0.1233,-0.0572,-0.8101
1785240686.189286,0.0990,34.9304084777832,-23.04686737060547,0.0348,-0.9855,0.1254,-0.0599,-0.9076
1785240686.287575,0.0983,35.6506233215332,-25.74767303466797,0.0290,-1.0436,0.1269,-0.0623,-1.0102
1785240686.386893,0.0993,35.81267166137695,-25.344350814819336,0.0307,-1.0395,0.1283,-0.0650,-1.1134
1785240686.488123,0.1012,35.8306770324707,-25.567617416381836,0.0301,-1.0436,0.1293,-0.0679,-1.2191
1785240686.588261,0.1001,36.0107307434082,-26.46788787841797,0.0280,-1.0620,0.1300,-0.0706,-1.3254
1785240686.725302,0.1370,36.5508918762207,-27.728261947631836,0.0259,-1.0926,0.1304,-0.0741,-1.4752
1785240686.802323,0.0770,36.3708381652832,-27.728261947631836,0.0253,-1.0896,0.1304,-0.0761,-1.5591
1785240686.900289,0.0980,36.5508918762207,-27.36815643310547,0.0269,-1.0865,0.1301,-0.0787,-1.6655
1785240687.018382,0.1181,36.36727523803711,-27.82096290588379,0.0251,-1.0911,0.1295,-0.0816,-1.7944
1785240687.111507,0.0931,36.3708381652832,-27.188100814819336,0.0269,-1.0804,0.1287,-0.0840,-1.8950
1785240687.202424,0.0909,36.549110412597656,-29.093820571899414,0.0219,-1.1158,0.1279,-0.0858,-1.9964
1785240687.332303,0.1299,37.0910530090332,-30.789175033569336,0.0185,-1.1538,0.1266,-0.0878,-2.1463
1785240687.425133,0.0928,36.9109992980957,-32.9498176574707,0.0116,-1.1875,0.1259,-0.0886,-2.2565
1785240687.513001,0.0879,36.91278076171875,-32.912384033203125,0.0117,-1.1869,0.1251,-0.0894,-2.3608
1785240687.665523,0.1525,36.9109992980957,-32.5897102355957,0.0127,-1.1814,0.1235,-0.0904,-2.5410
1785240687.728433,0.0629,36.7309455871582,-32.5897102355957,0.0121,-1.1783,0.1229,-0.0908,-2.6151
1785240687.813467,0.0850,36.9109992980957,-32.9498176574707,0.0116,-1.1875,0.1220,-0.0912,-2.7161
1785240687.932506,0.1190,36.9109992980957,-32.5897102355957,0.0127,-1.1814,0.1205,-0.0917,-2.8567
1785240688.026209,0.0937,36.7309455871582,-32.9498176574707,0.0111,-1.1844,0.1195,-0.0918,-2.9677
1785240688.139932,0.1137,11.019283294677734,-10.284664154052734,0.0022,-0.3621,0.1193,-0.0919,-3.0089
1785240688.230286,0.0904,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.351640,0.1214,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.448288,0.0966,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.525406,0.0771,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.664850,0.1394,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.737658,0.0728,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.832524,0.0949,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
1785240688.932153,0.0996,-0.0,-0.0,-0.0000,0.0000,0.1193,-0.0919,-3.0089
