t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786459810.106611,0.0000,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.225706,0.1191,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.325068,0.0994,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.499029,0.1740,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.598600,0.0996,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.710117,0.1115,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.811591,0.1015,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459810.988001,0.1764,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.031736,0.0437,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.071956,0.0402,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.088654,0.0167,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.169578,0.0809,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.228724,0.0591,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.260110,0.0314,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.353768,0.0937,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.404434,0.0507,-0.0,-0.0,-0.0000,0.0000,3.5112,-11.5773,6.0044,,enc,
1786459811.447052,0.0426,3.4210195541381836,1.8005366325378418,0.0153,-0.0275,3.5118,-11.5775,6.0032,,enc,
1786459811.545951,0.0989,29.457490921020508,24.366071701049805,0.1578,-0.0865,3.5268,-11.5819,5.9946,,enc,
1786459811.565800,0.0198,28.282827377319336,23.50780487060547,0.1519,-0.0812,3.5297,-11.5828,5.9930,,enc,
