t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786461204.852618,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461204.953183,0.1006,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.053754,0.1006,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.182555,0.1288,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.282038,0.0995,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.372221,0.0902,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.465011,0.0928,-0.0,-0.0,-0.0000,0.0000,-0.3045,-2.2966,-11.7207,,enc,
1786461205.572023,0.1070,-0.0,1.4692378044128418,0.0043,0.0250,-0.3042,-2.2963,-11.7180,,enc,
1786461205.658156,0.0861,-0.0,28.911983489990234,0.0848,0.4914,-0.2996,-2.2906,-11.6757,,enc,
1786461205.760360,0.1022,-0.0,27.36815643310547,0.0802,0.4652,-0.2947,-2.2840,-11.6282,,enc,
1786461205.860280,0.0999,1.2855830192565918,27.18090057373047,0.0835,0.4402,-0.2901,-2.2770,-11.5842,,enc,
1786461206.008032,0.1478,26.44628143310547,29.935720443725586,0.1653,0.0593,-0.2767,-2.2566,-11.5754,,enc,
1786461206.218010,0.2100,26.54810905456543,30.54850959777832,0.1674,0.0680,-0.2579,-2.2269,-11.5611,,enc,
1786461206.389914,0.1719,23.94713592529297,28.08837127685547,0.1526,0.0704,-0.2441,-2.2046,-11.5490,,enc,
1786461206.613424,0.2235,1.1019283533096313,1.4692378044128418,0.0075,0.0062,-0.2432,-2.2032,-11.5476,,enc,
1786461206.906271,0.2928,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461206.906325,0.0001,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461206.926540,0.0202,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461207.077386,0.1508,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461207.162982,0.0856,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461207.252162,0.0892,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461207.301741,0.0496,-0.0,-0.0,-0.0000,0.0000,-0.2432,-2.2032,-11.5476,,enc,
1786461207.366593,0.0649,-0.0,-0.36367273330688477,-0.0011,-0.0062,-0.2432,-2.2032,-11.5480,,enc,
1786461207.435052,0.0685,25.63892936706543,24.00240135192871,0.1456,-0.0278,-0.2380,-2.1948,-11.5499,,enc,
1786461207.464715,0.0297,27.82096290588379,26.366273880004883,0.1589,-0.0247,-0.2355,-2.1908,-11.5507,,enc,
1786461207.572722,0.1080,27.82096290588379,26.002599716186523,0.1578,-0.0309,-0.2265,-2.1763,-11.5540,,enc,
1786461207.697385,0.1247,27.36455535888672,25.89531707763672,0.1562,-0.0250,-0.2161,-2.1598,-11.5571,,enc,
1786461207.915964,0.2186,29.093820571899414,27.09362030029297,0.1648,-0.0340,-0.1967,-2.1295,-11.5646,,enc,
1786461208.101902,0.1859,31.094018936157227,29.093820571899414,0.1765,-0.0340,-0.1788,-2.1020,-11.5709,,enc,
1786461208.438023,0.3361,30.853992462158203,28.833791732788086,0.1750,-0.0343,-0.1463,-2.0530,-11.5824,,enc,
1786461208.456066,0.0180,30.54850959777832,28.730146408081055,0.1738,-0.0309,-0.1445,-2.0504,-11.5830,,enc,
1786461208.499337,0.0433,30.54850959777832,28.730146408081055,0.1738,-0.0309,-0.1404,-2.0441,-11.5843,,enc,
1786461208.571877,0.0725,30.366674423217773,28.911983489990234,0.1738,-0.0247,-0.1333,-2.0336,-11.5861,,enc,
1786461208.637958,0.0661,31.149282455444336,29.348745346069336,0.1774,-0.0306,-0.1268,-2.0239,-11.5881,,enc,
1786461208.675886,0.0379,31.955923080444336,30.486684799194336,0.1831,-0.0250,-0.1229,-2.0181,-11.5891,,enc,
1786461209.003380,0.3275,31.821365356445312,30.366674423217773,0.1823,-0.0247,-0.0891,-1.9689,-11.5972,,enc,
1786461209.394566,0.3912,31.821365356445312,30.184837341308594,0.1818,-0.0278,-0.0482,-1.9107,-11.6081,,enc,
1786461209.478157,0.0836,32.4096565246582,30.789175033569336,0.1853,-0.0275,-0.0393,-1.8981,-11.6104,,enc,
1786461209.552397,0.0742,32.548709869384766,30.912181854248047,0.1861,-0.0278,-0.0313,-1.8868,-11.6124,,enc,
1786461209.596597,0.0442,32.36687469482422,30.912181854248047,0.1855,-0.0247,-0.0265,-1.8801,-11.6135,,enc,
1786461209.608228,0.0116,32.3232307434082,30.853992462158203,0.1852,-0.0250,-0.0253,-1.8784,-11.6138,,enc,
1786461209.955262,0.3470,32.4096565246582,30.969226837158203,0.1858,-0.0245,0.0125,-1.8261,-11.6223,,enc,
1786461209.964623,0.0094,32.73054504394531,31.275854110717773,0.1877,-0.0247,0.0136,-1.8247,-11.6225,,enc,
1786461209.999626,0.0350,32.4096565246582,31.149282455444336,0.1864,-0.0214,0.0174,-1.8194,-11.6233,,enc,
1786461210.092093,0.0925,32.36687469482422,30.912181854248047,0.1855,-0.0247,0.0275,-1.8056,-11.6256,,enc,
1786461210.205673,0.1136,32.3232307434082,31.037647247314453,0.1858,-0.0219,0.0400,-1.7885,-11.6281,,enc,
1786461210.481863,0.2762,32.50688552856445,31.037647247314453,0.1863,-0.0250,0.0707,-1.7472,-11.6350,,enc,
1786461210.512401,0.0305,32.3232307434082,31.037647247314453,0.1858,-0.0219,0.0741,-1.7427,-11.6356,,enc,
1786461210.632183,0.1198,32.13957595825195,31.037647247314453,0.1852,-0.0187,0.0874,-1.7249,-11.6379,,enc,
1786461210.937789,0.3056,32.36687469482422,30.7303466796875,0.1850,-0.0278,0.1216,-1.6799,-11.6464,,enc,
1786461210.981498,0.0437,32.3232307434082,30.853992462158203,0.1852,-0.0250,0.1265,-1.6735,-11.6475,,enc,
1786461211.037401,0.0559,32.13957595825195,30.853992462158203,0.1847,-0.0219,0.1328,-1.6653,-11.6487,,enc,
1786461211.090606,0.0532,32.13957595825195,30.853992462158203,0.1847,-0.0219,0.1388,-1.6575,-11.6498,,enc,
1786461211.162511,0.0719,32.185035705566406,30.912181854248047,0.1850,-0.0216,0.1469,-1.6470,-11.6514,,enc,
1786461211.212826,0.0503,32.185035705566406,30.7303466796875,0.1845,-0.0247,0.1526,-1.6396,-11.6526,,enc,
1786461211.563066,0.3502,31.955923080444336,30.853992462158203,0.1842,-0.0187,0.1923,-1.5888,-11.6592,,enc,
1786461211.588799,0.0257,32.00320053100586,30.912181854248047,0.1845,-0.0185,0.1952,-1.5851,-11.6597,,enc,
1786461211.715935,0.1271,32.13957595825195,30.670339584350586,0.1842,-0.0250,0.2097,-1.5667,-11.6629,,enc,
1786461212.531065,0.8151,31.869497299194336,30.609121322631836,0.1832,-0.0214,0.3042,-1.4510,-11.6803,,enc,
1786461212.680329,0.1493,31.821365356445312,30.7303466796875,0.1834,-0.0185,0.3215,-1.4298,-11.6831,,enc,
1786461213.034256,0.3539,32.00320053100586,30.54850959777832,0.1834,-0.0247,0.3632,-1.3800,-11.6918,,enc,
1786461213.131811,0.0976,31.689441680908203,30.609121322631836,0.1827,-0.0184,0.3746,-1.3664,-11.6936,,enc,
1786461213.426841,0.2950,31.772266387939453,30.486684799194336,0.1826,-0.0219,0.4095,-1.3254,-11.7001,,enc,
1786461213.547745,0.1209,31.588611602783203,30.486684799194336,0.1820,-0.0187,0.4238,-1.3086,-11.7023,,enc,
1786461213.626496,0.0788,31.821365356445312,30.366674423217773,0.1823,-0.0247,0.4331,-1.2977,-11.7043,,enc,
1786461213.707353,0.0809,31.639528274536133,30.366674423217773,0.1818,-0.0216,0.4427,-1.2866,-11.7060,,enc,
1786461213.884035,0.1767,31.457691192626953,30.54850959777832,0.1818,-0.0155,0.4637,-1.2623,-11.7088,,enc,
1786461213.947995,0.0640,31.457691192626953,30.366674423217773,0.1813,-0.0185,0.4713,-1.2535,-11.7100,,enc,
1786461213.998358,0.0504,31.404958724975586,30.303028106689453,0.1809,-0.0187,0.4773,-1.2466,-11.7109,,enc,
1786461214.102978,0.1046,31.275854110717773,30.184837341308594,0.1802,-0.0185,0.4897,-1.2324,-11.7128,,enc,
1786461214.148071,0.0451,31.404958724975586,30.303028106689453,0.1809,-0.0187,0.4951,-1.2263,-11.7137,,enc,
1786461214.194659,0.0466,31.404958724975586,30.119375228881836,0.1804,-0.0219,0.5006,-1.2200,-11.7147,,enc,
1786461214.240935,0.0463,31.275854110717773,30.184837341308594,0.1802,-0.0185,0.5061,-1.2137,-11.7156,,enc,
1786461214.279495,0.0386,31.094018936157227,30.003000259399414,0.1791,-0.0185,0.5107,-1.2085,-11.7163,,enc,
1786461214.331444,0.0519,31.221303939819336,30.303028106689453,0.1804,-0.0156,0.5169,-1.2015,-11.7171,,enc,
1786461214.380308,0.0489,31.094018936157227,30.003000259399414,0.1791,-0.0185,0.5226,-1.1949,-11.7180,,enc,
1786461214.483081,0.1028,31.094018936157227,30.184837341308594,0.1797,-0.0155,0.5349,-1.1811,-11.7196,,enc,
1786461214.526614,0.0435,31.094018936157227,30.003000259399414,0.1791,-0.0185,0.5400,-1.1752,-11.7204,,enc,
1786461214.582464,0.0559,30.912181854248047,29.821165084838867,0.1781,-0.0185,0.5466,-1.1678,-11.7214,,enc,
1786461214.703081,0.1206,30.853992462158203,29.935720443725586,0.1782,-0.0156,0.5609,-1.1517,-11.7233,,enc,
1786461214.703133,0.0001,30.853992462158203,29.935720443725586,0.1782,-0.0156,0.5610,-1.1517,-11.7233,,enc,
1786461214.703145,0.0000,31.094018936157227,29.821165084838867,0.1786,-0.0216,0.5610,-1.1517,-11.7233,,enc,
1786461214.703155,0.0000,30.670339584350586,29.752065658569336,0.1772,-0.0156,0.5610,-1.1517,-11.7233,,enc,
1786461214.703165,0.0000,30.853992462158203,29.935720443725586,0.1782,-0.0156,0.5610,-1.1517,-11.7233,,enc,
1786461214.703175,0.0000,30.609121322631836,29.348745346069336,0.1758,-0.0214,0.5610,-1.1517,-11.7233,,enc,
1786461214.703184,0.0000,30.670339584350586,29.752065658569336,0.1772,-0.0156,0.5610,-1.1517,-11.7233,,enc,
1786461214.703192,0.0000,30.490253448486328,29.598724365234375,0.1762,-0.0152,0.5610,-1.1517,-11.7233,,enc,
1786461214.703201,0.0000,30.670339584350586,29.568410873413086,0.1766,-0.0187,0.5610,-1.1517,-11.7233,,enc,
1786461214.703210,0.0000,30.609121322631836,29.734575271606445,0.1769,-0.0149,0.5610,-1.1517,-11.7233,,enc,
1786461214.738689,0.0355,30.184837341308594,29.275653839111328,0.1743,-0.0155,0.5651,-1.1471,-11.7239,,enc,
1786461214.760635,0.0219,30.486684799194336,29.752065658569336,0.1766,-0.0125,0.5677,-1.1442,-11.7241,,enc,
1786461214.802975,0.0423,30.303028106689453,29.384756088256836,0.1750,-0.0156,0.5726,-1.1387,-11.7248,,enc,
1786461214.823908,0.0209,30.366674423217773,29.275653839111328,0.1749,-0.0185,0.5750,-1.1360,-11.7252,,enc,
1786461214.851164,0.0273,30.303028106689453,29.568410873413086,0.1756,-0.0125,0.5782,-1.1324,-11.7255,,enc,
1786461214.893386,0.0422,30.119375228881836,29.384756088256836,0.1745,-0.0125,0.5831,-1.1269,-11.7260,,enc,
1786461214.942825,0.0494,30.184837341308594,29.457490921020508,0.1749,-0.0124,0.5889,-1.1205,-11.7267,,enc,
1786461214.978476,0.0357,30.119375228881836,29.384756088256836,0.1745,-0.0125,0.5931,-1.1158,-11.7271,,enc,
1786461215.000265,0.0218,30.119375228881836,29.201101303100586,0.1739,-0.0156,0.5956,-1.1130,-11.7274,,enc,
1786461215.030459,0.0302,30.119375228881836,29.201101303100586,0.1739,-0.0156,0.5991,-1.1091,-11.7279,,enc,
1786461215.047482,0.0170,30.003000259399414,29.275653839111328,0.1738,-0.0124,0.6011,-1.1069,-11.7281,,enc,
1786461215.080848,0.0334,30.366674423217773,28.548309326171875,0.1727,-0.0309,0.6050,-1.1026,-11.7292,,enc,
1786461215.108488,0.0276,30.303028106689453,27.548208236694336,0.1696,-0.0468,0.6081,-1.0991,-11.7304,,enc,
1786461215.132892,0.0244,30.303028106689453,27.731863021850586,0.1702,-0.0437,0.6109,-1.0961,-11.7315,,enc,
1786461215.226309,0.0934,30.303028106689453,27.731863021850586,0.1702,-0.0437,0.6216,-1.0843,-11.7356,,enc,
1786461215.328577,0.1023,30.068960189819336,27.548208236694336,0.1689,-0.0428,0.6333,-1.0716,-11.7400,,enc,
1786461215.429714,0.1011,30.366674423217773,26.54810905456543,0.1669,-0.0649,0.6448,-1.0593,-11.7465,,enc,
1786461215.551159,0.1214,30.366674423217773,26.72994613647461,0.1674,-0.0618,0.6588,-1.0445,-11.7540,,enc,
1786461215.644869,0.0937,30.249011993408203,26.64794158935547,0.1668,-0.0612,0.6696,-1.0332,-11.7598,,enc,
1786461215.749175,0.1043,30.303028106689453,26.078969955444336,0.1653,-0.0718,0.6817,-1.0209,-11.7673,,enc,
1786461215.833638,0.0845,30.184837341308594,26.366273880004883,0.1658,-0.0649,0.6915,-1.0109,-11.7728,,enc,
1786461215.936097,0.1025,30.119375228881836,26.078969955444336,0.1648,-0.0687,0.7034,-0.9989,-11.7798,,enc,
1786461216.036557,0.1005,30.184837341308594,26.002599716186523,0.1648,-0.0711,0.7152,-0.9873,-11.7869,,enc,
1786461216.134930,0.0984,30.184837341308594,25.820762634277344,0.1642,-0.0742,0.7267,-0.9760,-11.7942,,enc,
1786461216.235049,0.1001,29.935720443725586,26.078969955444336,0.1642,-0.0656,0.7386,-0.9646,-11.8008,,enc,
1786461216.341296,0.1062,30.184837341308594,25.820762634277344,0.1642,-0.0742,0.7513,-0.9527,-11.8087,,enc,
1786461216.561920,0.2206,29.935720443725586,25.71166229248047,0.1632,-0.0718,0.7778,-0.9283,-11.8245,,enc,
1786461216.583888,0.0220,30.119375228881836,25.71166229248047,0.1637,-0.0749,0.7805,-0.9259,-11.8262,,enc,
1786461216.669278,0.0854,30.068960189819336,25.567617416381836,0.1631,-0.0765,0.7908,-0.9166,-11.8327,,enc,
1786461216.761542,0.0923,30.003000259399414,25.09341812133789,0.1616,-0.0835,0.8020,-0.9067,-11.8404,,enc,
1786461217.246911,0.4854,30.119375228881836,25.16069793701172,0.1621,-0.0843,0.8629,-0.8569,-11.8813,,enc,
1786461217.931008,0.6841,30.119375228881836,24.97704315185547,0.1616,-0.0874,0.9525,-0.7922,-11.9411,,enc,
1786461217.964375,0.0334,30.003000259399414,24.911582946777344,0.1610,-0.0865,0.9569,-0.7891,-11.9440,,enc,
1786461218.011884,0.0475,29.821165084838867,24.729745864868164,0.1600,-0.0865,0.9631,-0.7847,-11.9481,,enc,
