t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786711773.173884,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.3971,-0.1543,0.0050,359.8510,enc,
1786711773.192555,0.0187,-0.0,-0.0,-0.0000,0.0000,-0.3971,-0.1543,0.0050,359.8510,enc,
1786711773.292576,0.1000,-0.0,-0.0,-0.0000,0.0000,-0.3971,-0.1543,0.0050,359.8510,enc,
1786711773.508930,0.2164,-0.0,-0.0,-0.0000,0.0000,-0.3971,-0.1543,0.0050,359.8510,enc,
1786711773.525465,0.0165,-0.0,-0.0,-0.0000,0.0000,-0.3971,-0.1543,0.0050,359.8510,enc,
1786711773.596823,0.0714,9.362789154052734,7.382200241088867,0.0491,-0.0337,-0.3936,-0.1543,0.0050,359.8510,imu,
1786711773.757578,0.1608,35.2617073059082,28.282827377319336,0.1863,-0.1186,-0.3636,-0.1544,-0.0027,0.2922,imu,
1786711773.800327,0.0427,33.69975280761719,27.459056854248047,0.1793,-0.1061,-0.3559,-0.1544,-0.0003,0.1580,imu,
1786711773.902721,0.1024,34.0301399230957,27.908315658569336,0.1816,-0.1041,-0.3374,-0.1544,-0.0018,0.2428,imu,
1786711774.099179,0.1965,34.3902473449707,30.068960189819336,0.1890,-0.0735,-0.3002,-0.1546,-0.0042,0.3818,imu,
1786711774.136636,0.0375,34.36707305908203,30.184837341308594,0.1893,-0.0711,-0.2931,-0.1546,-0.0037,0.3485,imu,
1786711774.207258,0.0706,33.87805938720703,30.13364028930664,0.1877,-0.0636,-0.2799,-0.1547,-0.0057,0.4668,imu,
1786711774.437373,0.2301,33.55230712890625,30.020484924316406,0.1864,-0.0600,-0.2370,-0.1551,-0.0105,0.7393,imu,
1786711774.442927,0.0056,33.7924690246582,31.221303939819336,0.1906,-0.0437,-0.2359,-0.1552,-0.0101,0.7188,imu,
1786711774.512473,0.0695,34.185237884521484,31.457691192626953,0.1925,-0.0464,-0.2225,-0.1553,-0.0121,0.8309,imu,
1786711774.614524,0.1021,34.2101936340332,31.329336166381836,0.1922,-0.0490,-0.2029,-0.1556,-0.0120,0.8239,imu,
1786711774.773259,0.1587,33.55230712890625,31.256622314453125,0.1900,-0.0390,-0.1728,-0.1560,-0.0138,0.9284,imu,
