t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786700920.222847,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.222916,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.222932,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.222941,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.324526,0.1016,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.423959,0.0994,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.575725,0.1518,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.583668,0.0079,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.790674,0.2070,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.793067,0.0024,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.988241,0.1952,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700920.988325,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.288793,0.3005,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.352193,0.0634,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.352243,0.0001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.404016,0.0518,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.504510,0.1005,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.564320,0.0598,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.655850,0.0915,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.867972,0.2121,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.869905,0.0019,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700921.959304,0.0894,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700922.210618,0.2513,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
1786700922.210654,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000,,enc,
