t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786694046.622955,0.0000,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694046.720868,0.0979,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694046.887346,0.1665,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694046.992825,0.1055,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694047.030893,0.0381,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694047.123285,0.0924,-0.0,-0.0,-0.0000,0.0000,2.5489,0.1086,-10.3410,,enc,
1786694047.206884,0.0836,26.813589096069336,-0.0,0.0786,-0.4558,2.5451,0.1140,-10.3791,,enc,
1786694047.323007,0.1161,33.6700325012207,-0.0,0.0987,-0.5723,2.5391,0.1238,-10.4456,,enc,
1786694047.408491,0.0855,32.912384033203125,-2.000200033187866,0.0906,-0.5934,2.5354,0.1306,-10.4963,,enc,
1786694047.509933,0.1014,33.63972854614258,-23.456892013549805,0.0299,-0.9705,2.5342,0.1333,-10.5947,,enc,
1786694047.610610,0.1007,34.00339889526367,-22.54770851135254,0.0336,-0.9613,2.5332,0.1366,-10.6915,,enc,
1786694047.711280,0.1007,33.60881423950195,-22.4058780670166,0.0328,-0.9521,2.5325,0.1398,-10.7874,,enc,
1786694047.857834,0.1466,33.63972854614258,-21.820363998413086,0.0347,-0.9427,2.5321,0.1449,-10.9255,,enc,
1786694047.914436,0.0566,33.6700325012207,-21.42638397216797,0.0359,-0.9365,2.5321,0.1469,-10.9785,,enc,
1786694048.016257,0.1018,34.5703010559082,-22.32665252685547,0.0359,-0.9671,2.5324,0.1506,-11.0770,,enc,
1786694048.187752,0.1715,34.548912048339844,-22.002201080322266,0.0368,-0.9613,2.5339,0.1567,-11.2419,,enc,
1786694048.222568,0.0348,34.3902473449707,-21.60643768310547,0.0375,-0.9518,2.5343,0.1579,-11.2750,,enc,
1786694048.321208,0.0986,34.91258239746094,-22.365873336791992,0.0368,-0.9736,2.5356,0.1613,-11.3710,,enc,
1786694048.521832,0.2006,34.91258239746094,-22.184038162231445,0.0373,-0.9705,2.5397,0.1676,-11.5658,,enc,
1786694048.554105,0.0323,34.71074295043945,-22.03856658935547,0.0372,-0.9646,2.5404,0.1686,-11.5969,,enc,
1786694048.670203,0.1161,34.73074722290039,-21.820363998413086,0.0379,-0.9613,2.5432,0.1719,-11.7085,,enc,
1786694048.882692,0.2125,32.50688552856445,-20.38567543029785,0.0355,-0.8991,2.5492,0.1766,-11.8995,,enc,
1786694048.902872,0.0202,32.73054504394531,-20.183837890625,0.0368,-0.8994,2.5498,0.1770,-11.9177,,enc,
1786694048.944393,0.0415,32.50688552856445,-20.2020206451416,0.0361,-0.8959,2.5510,0.1779,-11.9549,,enc,
1786694049.031934,0.0875,32.548709869384766,-19.456491470336914,0.0384,-0.8840,2.5539,0.1796,-12.0323,,enc,
1786694049.224185,0.1923,30.609121322631836,-5.941770553588867,0.0723,-0.6213,2.5666,0.1852,-12.1517,,enc,
1786694049.237589,0.0134,30.003000259399414,-0.0,0.0880,-0.5100,2.5677,0.1857,-12.1585,,enc,
1786694049.330522,0.0929,29.821165084838867,-0.0,0.0874,-0.5069,2.5753,0.1885,-12.2057,,enc,
1786694049.558526,0.2280,27.82096290588379,-0.0,0.0816,-0.4729,2.5933,0.1932,-12.3135,,enc,
1786694049.561486,0.0030,27.36455535888672,-0.0,0.0802,-0.4651,2.5935,0.1933,-12.3149,,enc,
1786694049.645848,0.0844,27.275455474853516,-0.0,0.0800,-0.4636,2.6001,0.1947,-12.3540,,enc,
1786694049.733038,0.0872,27.275455474853516,-0.0,0.0800,-0.4636,2.6070,0.1959,-12.3944,,enc,
1786694049.893928,0.1609,26.002599716186523,-0.0,0.0762,-0.4420,2.6192,0.1971,-12.4655,,enc,
1786694049.955693,0.0618,25.16069793701172,-0.0,0.0738,-0.4277,2.6237,0.1974,-12.4919,,enc,
1786694050.037969,0.0823,25.09341812133789,-0.0,0.0736,-0.4265,2.6298,0.1977,-12.5270,,enc,
1786694050.168183,0.1302,24.847402572631836,-0.0,0.0729,-0.4224,2.6393,0.1975,-12.5820,,enc,
1786694050.238142,0.0700,24.729745864868164,-0.0,0.0725,-0.4204,2.6443,0.1973,-12.6114,,enc,
1786694050.339184,0.1010,25.27525520324707,-0.0,0.0741,-0.4296,2.6518,0.1966,-12.6548,,enc,
1786694050.441443,0.1023,25.71166229248047,-0.0,0.0754,-0.4370,2.6594,0.1956,-12.6995,,enc,
1786694050.541351,0.0999,25.45709228515625,-0.0,0.0746,-0.4327,2.6668,0.1943,-12.7427,,enc,
1786694050.711444,0.1701,25.528005599975586,-0.0,0.0749,-0.4339,2.6791,0.1912,-12.8166,,enc,
1786694050.789992,0.0785,25.27525520324707,-0.0,0.0741,-0.4296,2.6847,0.1895,-12.8503,,enc,
1786694050.877501,0.0875,25.27525520324707,-0.18183636665344238,0.0736,-0.4327,2.6908,0.1875,-12.8882,,enc,
1786694051.423783,0.5463,26.54810905456543,-21.45669174194336,0.0149,-0.8160,2.6967,0.1818,-13.3339,,enc,
1786694051.492222,0.0684,26.62993621826172,-22.22222137451172,0.0129,-0.8304,2.6973,0.1812,-13.3908,,enc,
1786694051.494336,0.0021,26.366273880004883,-22.184038162231445,0.0123,-0.8253,2.6973,0.1812,-13.3925,,enc,
1786694051.494361,0.0000,26.44628143310547,-22.03856658935547,0.0129,-0.8241,2.6973,0.1812,-13.3925,,enc,
1786694051.592058,0.0977,26.184436798095703,-22.365873336791992,0.0112,-0.8253,2.6980,0.1803,-13.4731,,enc,
1786694051.592111,0.0001,27.188100814819336,-6.121824264526367,0.0618,-0.5662,2.6980,0.1803,-13.4732,,enc,
1786694053.154454,1.5623,28.366474151611328,-0.0,0.0832,-0.4822,2.6864,0.0509,-14.2265,,enc,
1786694053.154630,0.0002,28.833791732788086,-0.0,0.0845,-0.4901,2.6864,0.0509,-14.2266,,enc,
1786694053.195026,0.0404,28.548309326171875,-0.0,0.0837,-0.4853,2.6860,0.0475,-14.2462,,enc,
1786694053.195092,0.0001,28.548309326171875,-0.0,0.0837,-0.4853,2.6860,0.0475,-14.2462,,enc,
1786694053.195103,0.0000,28.366474151611328,-0.0,0.0832,-0.4822,2.6860,0.0475,-14.2462,,enc,
1786694053.195112,0.0000,29.017446517944336,-20.2020206451416,0.0258,-0.8366,2.6860,0.0475,-14.2462,,enc,
1786694053.195122,0.0000,29.168691635131836,-22.32665252685547,0.0201,-0.8753,2.6860,0.0475,-14.2462,,enc,
1786694053.195134,0.0000,29.017446517944336,-22.03856658935547,0.0205,-0.8678,2.6860,0.0475,-14.2463,,enc,
1786694053.195142,0.0000,28.911983489990234,-22.002201080322266,0.0203,-0.8654,2.6860,0.0475,-14.2463,,enc,
1786694053.195151,0.0000,29.017446517944336,-21.48760223388672,0.0221,-0.8585,2.6860,0.0475,-14.2463,,enc,
1786694053.195159,0.0000,28.911983489990234,-21.27485466003418,0.0224,-0.8531,2.6860,0.0475,-14.2463,,enc,
1786694053.457213,0.2621,25.16069793701172,-19.10009002685547,0.0178,-0.7523,2.6846,0.0430,-14.4434,,enc,
1786694053.457268,0.0001,0.7273454666137695,-0.7273454666137695,0.0000,-0.0247,2.6846,0.0430,-14.4434,,enc,
1786694053.457281,0.0000,-0.0,-0.0,-0.0000,0.0000,2.6846,0.0430,-14.4434,,enc,
1786694053.457290,0.0000,-0.0,-0.0,-0.0000,0.0000,2.6846,0.0430,-14.4434,,enc,
1786694053.457298,0.0000,-0.0,-0.0,-0.0000,0.0000,2.6846,0.0430,-14.4434,,enc,
1786694053.457306,0.0000,-0.0,-0.0,-0.0000,0.0000,2.6846,0.0430,-14.4434,,enc,
