t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785331011.369139,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.502942,0.1338,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.569743,0.0668,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.669497,0.0998,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.770766,0.1013,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.871364,0.1006,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331011.989024,0.1177,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785331012.113874,0.1249,10.00100040435791,-0.0,0.0293,-0.1700,0.0037,-0.0001,-0.0212
1785331012.174529,0.0607,32.00320053100586,-0.0,0.0938,-0.5440,0.0093,-0.0004,-0.0542
1785331012.282230,0.1077,30.184837341308594,-0.0,0.0885,-0.5131,0.0188,-0.0014,-0.1095
1785331012.408950,0.1267,32.73054504394531,-14.001399993896484,0.0549,-0.7943,0.0256,-0.0029,-0.2101
1785331012.480036,0.0711,35.4705696105957,-24.48729705810547,0.0322,-1.0192,0.0278,-0.0035,-0.2826
1785331012.579934,0.0999,35.07805252075195,-23.50780487060547,0.0339,-0.9958,0.0310,-0.0048,-0.3821
1785331012.684317,0.1044,35.094417572021484,-23.093217849731445,0.0352,-0.9891,0.0342,-0.0065,-0.4853
1785331012.832711,0.1484,34.73074722290039,-23.093217849731445,0.0341,-0.9829,0.0383,-0.0095,-0.6312
1785331012.883672,0.0510,35.1104621887207,-23.4069766998291,0.0343,-0.9947,0.0397,-0.0106,-0.6819
1785331013.066916,0.1832,37.6312141418457,-23.76708221435547,0.0407,-1.0436,0.0444,-0.0163,-0.8731
1785331013.133121,0.0662,37.45115661621094,-23.94713592529297,0.0396,-1.0436,0.0460,-0.0184,-0.9422
1785331013.250949,0.1178,37.27645492553711,-23.82056427001953,0.0395,-1.0385,0.0482,-0.0225,-1.0646
1785331013.292654,0.0417,37.45829391479492,-24.00240135192871,0.0395,-1.0447,0.0490,-0.0240,-1.1081
1785331013.406358,0.1137,37.8112678527832,-23.94713592529297,0.0407,-1.0498,0.0505,-0.0283,-1.2275
1785331013.492332,0.0860,38.5314826965332,-24.127187728881836,0.0422,-1.0651,0.0514,-0.0318,-1.3191
1785331013.598416,0.1061,38.5314826965332,-23.94713592529297,0.0428,-1.0620,0.0521,-0.0363,-1.4317
1785331013.708456,0.1100,38.5314826965332,-23.94713592529297,0.0428,-1.0620,0.0522,-0.0410,-1.5486
1785331013.796749,0.0883,38.56748962402344,-23.87511444091797,0.0431,-1.0614,0.0519,-0.0448,-1.6423
1785331013.898577,0.1018,39.2516975402832,-23.94713592529297,0.0449,-1.0743,0.0511,-0.0493,-1.7517
1785331014.033981,0.1354,38.91298294067383,-23.82056427001953,0.0443,-1.0663,0.0492,-0.0550,-1.8961
1785331014.102818,0.0688,38.89158630371094,-23.94713592529297,0.0438,-1.0681,0.0480,-0.0578,-1.9696
1785331014.203230,0.1004,39.07164001464844,-23.76708221435547,0.0449,-1.0681,0.0458,-0.0617,-2.0769
1785331014.333072,0.1298,38.89158630371094,-23.94713592529297,0.0438,-1.0681,0.0424,-0.0663,-2.2155
1785331014.405949,0.0729,39.27665328979492,-25.09341812133789,0.0416,-1.0942,0.0404,-0.0685,-2.2953
1785331014.507427,0.1015,39.822166442871094,-29.275653839111328,0.0309,-1.1745,0.0380,-0.0706,-2.4145
1785331014.639571,0.1321,39.66941833496094,-29.017446517944336,0.0312,-1.1675,0.0346,-0.0728,-2.5688
1785331014.712310,0.0727,39.822166442871094,-28.18463706970215,0.0341,-1.1560,0.0324,-0.0740,-2.6528
1785331014.842240,0.1299,39.4317512512207,-25.92772674560547,0.0396,-1.1110,0.0275,-0.0757,-2.7972
1785331014.955657,0.1134,39.6118049621582,-26.10778045654297,0.0396,-1.1171,0.0231,-0.0767,-2.9239
