t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786459641.874135,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459641.975912,0.1018,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.111080,0.1352,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.209495,0.0984,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.295631,0.0861,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.386103,0.0905,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.483361,0.0973,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.581054,0.0977,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.695424,0.1144,-0.0,-0.0,-0.0000,0.0000,-0.0971,-0.2824,-1.1285,,enc,
1786459642.782425,0.0870,-0.0,15.27425479888916,0.0448,0.2596,-0.0953,-0.2858,-1.1059,,enc,
1786459642.882801,0.1004,-0.0,28.911983489990234,0.0848,0.4914,-0.0912,-0.2933,-1.0566,,enc,
1786459642.984669,0.1019,1.9805901050567627,27.728261947631836,0.0871,0.4377,-0.0865,-0.3008,-1.0120,,enc,
1786459643.089052,0.1044,27.18090057373047,30.486684799194336,0.1691,0.0562,-0.0770,-0.3157,-1.0062,,enc,
1786459643.446125,0.3571,26.46788787841797,31.329336166381836,0.1695,0.0826,-0.0431,-0.3658,-0.9767,,enc,
1786459643.569744,0.1236,26.078969955444336,31.221303939819336,0.1680,0.0874,-0.0313,-0.3829,-0.9659,,enc,
1786459643.813266,0.2435,25.89531707763672,31.037647247314453,0.1669,0.0874,-0.0075,-0.4159,-0.9446,,enc,
1786459643.843091,0.0298,25.820762634277344,31.094018936157227,0.1669,0.0896,-0.0046,-0.4199,-0.9419,,enc,
1786459643.892275,0.0492,26.10778045654297,30.789175033569336,0.1668,0.0796,0.0003,-0.4265,-0.9380,,enc,
1786459643.917958,0.0257,29.568410873413086,31.772266387939453,0.1799,0.0375,0.0030,-0.4302,-0.9370,,enc,
1786459643.958623,0.0407,29.752065658569336,31.955923080444336,0.1809,0.0375,0.0074,-0.4361,-0.9355,,enc,
1786459643.981531,0.0229,29.935720443725586,31.955923080444336,0.1815,0.0343,0.0099,-0.4395,-0.9347,,enc,
1786459644.031431,0.0499,29.093820571899414,31.639528274536133,0.1781,0.0433,0.0151,-0.4466,-0.9326,,enc,
1786459644.092866,0.0614,30.249011993408203,31.869497299194336,0.1821,0.0275,0.0218,-0.4556,-0.9309,,enc,
1786459644.192852,0.1000,31.955923080444336,31.955923080444336,0.1874,0.0000,0.0330,-0.4706,-0.9309,,enc,
1786459644.314042,0.1212,31.772266387939453,31.955923080444336,0.1869,0.0031,0.0465,-0.4888,-0.9305,,enc,
1786459644.446702,0.1327,32.87419509887695,30.853992462158203,0.1869,-0.0343,0.0613,-0.5087,-0.9350,,enc,
1786459644.511448,0.0647,32.912384033203125,30.366674423217773,0.1855,-0.0433,0.0684,-0.5184,-0.9378,,enc,
1786459644.610414,0.0990,32.73054504394531,30.366674423217773,0.1850,-0.0402,0.0791,-0.5332,-0.9418,,enc,
1786459644.697995,0.0876,32.6905403137207,30.303028106689453,0.1847,-0.0406,0.0886,-0.5463,-0.9454,,enc,
1786459644.800984,0.1030,32.548709869384766,30.366674423217773,0.1845,-0.0371,0.0997,-0.5618,-0.9492,,enc,
1786459644.898277,0.0973,32.548709869384766,30.184837341308594,0.1839,-0.0402,0.1100,-0.5764,-0.9531,,enc,
1786459645.000004,0.1017,32.7697639465332,30.609121322631836,0.1858,-0.0367,0.1209,-0.5918,-0.9568,,enc,
1786459645.100163,0.1002,32.912384033203125,30.912181854248047,0.1871,-0.0340,0.1317,-0.6072,-0.9602,,enc,
1786459645.202686,0.1025,32.808223724365234,30.84686279296875,0.1866,-0.0333,0.1426,-0.6229,-0.9637,,enc,
1786459645.302692,0.1000,32.87419509887695,31.037647247314453,0.1874,-0.0312,0.1532,-0.6383,-0.9668,,enc,
1786459645.421903,0.1192,32.87419509887695,31.404958724975586,0.1885,-0.0250,0.1660,-0.6569,-0.9698,,enc,
1786459645.540115,0.1182,32.87419509887695,31.221303939819336,0.1879,-0.0281,0.1785,-0.6752,-0.9731,,enc,
1786459645.615073,0.0750,32.6905403137207,31.037647247314453,0.1869,-0.0281,0.1863,-0.6868,-0.9752,,enc,
1786459645.838221,0.2231,32.73054504394531,31.275854110717773,0.1877,-0.0247,0.2096,-0.7216,-0.9807,,enc,
