t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785483744.545972,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483744.647382,0.1014,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483744.748926,0.1015,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483744.854455,0.1055,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483744.952322,0.0979,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.054463,0.1021,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.156388,0.1019,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.255420,0.0990,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.356382,0.1010,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.458297,0.1019,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.558318,0.1000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.657760,0.0994,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.762534,0.1048,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.862924,0.1004,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483745.963089,0.1002,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.065407,0.1023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.173525,0.1081,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.265241,0.0917,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.367816,0.1026,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.470121,0.1023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.574709,0.1046,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.683261,0.1086,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.771888,0.0886,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.872871,0.1010,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483746.976317,0.1034,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785483747.077343,0.1010,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
