t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785484737.321859,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.422801,0.1009,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.563291,0.1405,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.624320,0.0610,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.773603,0.1493,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.826786,0.0532,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484737.929101,0.1023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.032070,0.1030,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.131922,0.0999,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.233036,0.1011,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.334270,0.1012,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.434978,0.1007,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.542554,0.1076,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.644785,0.1022,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.749237,0.1045,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.842692,0.0935,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484738.945788,0.1031,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484739.043225,0.0974,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484739.145731,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484739.248187,0.1025,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785484739.358460,0.1103,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
