t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786460350.354583,0.0000,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.375805,0.0212,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.423839,0.0480,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.487783,0.0639,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.569484,0.0817,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.694805,0.1253,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.782423,0.0876,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.866415,0.0840,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460350.971076,0.1047,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460351.073549,0.1025,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460351.149051,0.0755,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460351.237958,0.0889,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460351.295454,0.0575,-0.0,-0.0,-0.0000,0.0000,1.5790,0.0112,1.0530,,enc,
1786460351.375091,0.0796,23.82056427001953,22.54770851135254,0.1360,-0.0216,1.5844,0.0206,1.0513,,enc,
1786460351.446057,0.0710,26.813589096069336,25.89531707763672,0.1546,-0.0156,1.5898,0.0301,1.0502,,enc,
1786460351.534983,0.0889,26.62993621826172,25.528005599975586,0.1529,-0.0187,1.5966,0.0419,1.0485,,enc,
1786460351.584919,0.0499,25.89531707763672,25.16069793701172,0.1497,-0.0125,1.6003,0.0484,1.0479,,enc,
1786460351.818999,0.2341,26.002599716186523,25.09341812133789,0.1498,-0.0155,1.6180,0.0787,1.0443,,enc,
1786460351.819309,0.0003,25.820762634277344,25.09341812133789,0.1493,-0.0124,1.6180,0.0788,1.0443,,enc,
1786460351.819360,0.0001,29.935720443725586,25.89531707763672,0.1637,-0.0687,1.6180,0.0788,1.0443,,enc,
1786460351.863053,0.0437,30.003000259399414,26.002599716186523,0.1642,-0.0680,1.6216,0.0850,1.0413,,enc,
1786460351.935749,0.0727,29.888906478881836,25.92772674560547,0.1637,-0.0673,1.6277,0.0952,1.0364,,enc,
1786460352.038463,0.1027,29.821165084838867,26.002599716186523,0.1637,-0.0649,1.6363,0.1096,1.0297,,enc,
1786460352.145103,0.1066,31.094018936157227,25.63892936706543,0.1663,-0.0927,1.6456,0.1247,1.0198,,enc,
1786460352.215699,0.0706,32.22960662841797,25.567617416381836,0.1695,-0.1132,1.6520,0.1349,1.0118,,enc,
1786460352.357690,0.1420,31.955923080444336,25.528005599975586,0.1686,-0.1093,1.6650,0.1550,0.9963,,enc,
1786460352.522523,0.1648,32.3232307434082,25.344350814819336,0.1691,-0.1186,1.6806,0.1781,0.9768,,enc,
1786460352.531008,0.0085,33.821563720703125,24.547908782958984,0.1711,-0.1576,1.6814,0.1793,0.9754,,enc,
1786460352.618432,0.0874,33.457889556884766,24.547908782958984,0.1701,-0.1515,1.6899,0.1915,0.9622,,enc,
1786460352.719585,0.1012,33.27605438232422,24.366071701049805,0.1690,-0.1515,1.6999,0.2053,0.9469,,enc,
1786460352.887938,0.1684,33.4251594543457,24.42607879638672,0.1696,-0.1530,1.7171,0.2281,0.9211,,enc,
1786460353.034944,0.1470,34.30531692504883,23.909765243530273,0.1707,-0.1767,1.7328,0.2477,0.8951,,enc,
1786460353.058233,0.0233,34.185237884521484,23.638729095458984,0.1695,-0.1793,1.7353,0.2507,0.8910,,enc,
1786460353.130567,0.0723,34.185237884521484,23.638729095458984,0.1695,-0.1793,1.7432,0.2602,0.8780,,enc,
1786460353.227600,0.0970,34.1597785949707,23.50780487060547,0.1691,-0.1811,1.7539,0.2726,0.8604,,enc,
1786460353.331508,0.1039,34.1597785949707,23.32415008544922,0.1686,-0.1842,1.7655,0.2857,0.8413,,enc,
1786460353.441383,0.1099,33.97612380981445,23.32415008544922,0.1680,-0.1811,1.7781,0.2992,0.8214,,enc,
1786460353.531088,0.0897,33.8500862121582,24.127187728881836,0.1700,-0.1653,1.7887,0.3102,0.8066,,enc,
1786460353.630216,0.0991,34.00339889526367,24.366071701049805,0.1711,-0.1638,1.8006,0.3222,0.7903,,enc,
1786460353.783529,0.1533,33.97612380981445,24.05876922607422,0.1702,-0.1686,1.8194,0.3403,0.7645,,enc,
1786460354.087258,0.3037,33.6700325012207,25.20751190185547,0.1726,-0.1438,1.8588,0.3749,0.7208,,enc,
1786460354.108030,0.0208,33.63972854614258,25.63892936706543,0.1738,-0.1360,1.8615,0.3773,0.7180,,enc,
1786460354.112413,0.0044,33.4251594543457,25.344350814819336,0.1723,-0.1374,1.8621,0.3778,0.7174,,enc,
1786460354.164936,0.0525,33.60881423950195,25.344350814819336,0.1729,-0.1405,1.8690,0.3837,0.7100,,enc,
1786460354.232989,0.0681,33.0578498840332,25.89531707763672,0.1729,-0.1217,1.8780,0.3913,0.7017,,enc,
1786460354.332624,0.0996,32.87419509887695,27.91551971435547,0.1782,-0.0843,1.8916,0.4026,0.6933,,enc,
