t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785503649.767932,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503649.860909,0.0930,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503649.963568,0.1027,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.025721,0.0622,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.129923,0.1042,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.226481,0.0966,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.334151,0.1077,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.431297,0.0971,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503650.530226,0.0989,20.9366397857666,20.2020206451416,0.1206,-0.0125,0.0119,-0.0000,-0.0012
1785503650.629426,0.0992,27.731863021850586,26.997243881225586,0.1605,-0.0125,0.0279,-0.0001,-0.0025
1785503650.764876,0.1354,27.09362030029297,26.54810905456543,0.1573,-0.0093,0.0492,-0.0001,-0.0037
1785503650.846967,0.0821,27.275455474853516,26.366273880004883,0.1573,-0.0155,0.0621,-0.0002,-0.0050
1785503650.972985,0.1260,28.08837127685547,27.908315658569336,0.1642,-0.0031,0.0828,-0.0003,-0.0054
1785503651.040818,0.0678,29.457490921020508,30.003000259399414,0.1743,0.0093,0.0946,-0.0004,-0.0048
1785503651.139831,0.0990,29.275653839111328,29.821165084838867,0.1733,0.0093,0.1117,-0.0004,-0.0038
1785503651.240257,0.1004,29.821165084838867,30.7303466796875,0.1775,0.0155,0.1296,-0.0005,-0.0023
1785503651.349674,0.1094,30.366674423217773,31.639528274536133,0.1818,0.0216,0.1495,-0.0005,0.0001
1785503651.442452,0.0928,30.366674423217773,31.457691192626953,0.1813,0.0185,0.1663,-0.0004,0.0018
1785503651.539376,0.0969,30.184837341308594,31.457691192626953,0.1807,0.0216,0.1838,-0.0004,0.0039
1785503651.689307,0.1499,30.068960189819336,31.329336166381836,0.1800,0.0214,0.2108,-0.0002,0.0071
1785503651.767345,0.0780,30.184837341308594,31.639528274536133,0.1813,0.0247,0.2249,-0.0001,0.0090
1785503651.870511,0.1032,29.752065658569336,31.955923080444336,0.1809,0.0375,0.2436,0.0002,0.0129
1785503651.975936,0.1054,30.003000259399414,32.548709869384766,0.1834,0.0433,0.2629,0.0005,0.0175
1785503652.093127,0.1172,29.821165084838867,32.185035705566406,0.1818,0.0402,0.2842,0.0010,0.0222
1785503652.179041,0.0859,29.752065658569336,32.13957595825195,0.1815,0.0406,0.2998,0.0014,0.0257
1785503652.246688,0.0676,29.821165084838867,32.185035705566406,0.1818,0.0402,0.3121,0.0017,0.0284
1785503652.346202,0.0995,29.639328002929688,32.548709869384766,0.1823,0.0495,0.3303,0.0024,0.0333
1785503652.453136,0.1069,29.457490921020508,32.548709869384766,0.1818,0.0525,0.3497,0.0031,0.0389
1785503652.552199,0.0991,29.275653839111328,32.548709869384766,0.1813,0.0556,0.3676,0.0039,0.0444
1785503652.651232,0.0990,29.275653839111328,32.73054504394531,0.1818,0.0587,0.3856,0.0048,0.0502
1785503652.750411,0.0992,29.093820571899414,32.73054504394531,0.1813,0.0618,0.4036,0.0058,0.0564
1785503652.885370,0.1350,28.911983489990234,32.548709869384766,0.1802,0.0618,0.4278,0.0074,0.0647
1785503653.020572,0.1352,29.093820571899414,32.548709869384766,0.1807,0.0587,0.4522,0.0092,0.0727
1785503653.095068,0.0745,28.730146408081055,32.548709869384766,0.1797,0.0649,0.4655,0.0102,0.0775
1785503653.186219,0.0912,29.275653839111328,32.36687469482422,0.1807,0.0525,0.4820,0.0116,0.0823
1785503653.304069,0.1178,30.912181854248047,31.821365356445312,0.1839,0.0155,0.5036,0.0134,0.0841
