t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786458157.208722,0.0000,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.208791,0.0001,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.208819,0.0000,2.363872766494751,-2.1820363998413086,0.0005,-0.0773,5.9836,1.9921,-10.8985,,enc,
1786458157.208836,0.0000,36.91278076171875,-35.2762565612793,0.0048,-1.2271,5.9836,1.9921,-10.8985,,enc,
1786458157.208848,0.0000,41.13865661621094,-38.38383483886719,0.0081,-1.3517,5.9836,1.9921,-10.8985,,enc,
1786458157.208859,0.0000,39.66941833496094,-36.7309455871582,0.0086,-1.2987,5.9836,1.9921,-10.8985,,enc,
1786458157.208868,0.0000,2.5457091331481934,-2.5457091331481934,0.0000,-0.0865,5.9836,1.9921,-10.8985,,enc,
1786458157.208878,0.0000,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.208887,0.0000,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.208895,0.0000,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.208905,0.0000,38.73114776611328,35.094417572021484,0.2165,-0.0618,5.9836,1.9921,-10.8985,,enc,
1786458157.208938,0.0000,38.73114776611328,35.458091735839844,0.2175,-0.0556,5.9836,1.9921,-10.8985,,enc,
1786458157.208950,0.0000,38.73114776611328,35.63992691040039,0.2181,-0.0525,5.9836,1.9921,-10.8985,,enc,
1786458157.208968,0.0000,38.54930877685547,36.1854362487793,0.2191,-0.0402,5.9836,1.9921,-10.8985,,enc,
1786458157.209004,0.0000,38.54930877685547,36.549110412597656,0.2202,-0.0340,5.9836,1.9921,-10.8985,,enc,
1786458157.209076,0.0001,34.73074722290039,32.73054504394531,0.1978,-0.0340,5.9836,1.9921,-10.8985,,enc,
1786458157.209166,0.0001,1.4692378044128418,1.6528925895690918,0.0092,0.0031,5.9836,1.9921,-10.8985,,enc,
1786458157.209219,0.0001,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
1786458157.209235,0.0000,-0.0,-0.0,-0.0000,0.0000,5.9836,1.9921,-10.8985,,enc,
