t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785241021.880944,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241021.916064,0.0351,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241021.939189,0.0231,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.134967,0.1958,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.169245,0.0343,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.381861,0.2126,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.384180,0.0023,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.445628,0.0614,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.637092,0.1915,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.660812,0.0237,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.878922,0.2181,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.888330,0.0094,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241022.955127,0.0668,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.133354,0.1782,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.157124,0.0238,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.385720,0.2286,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.407995,0.0223,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.475054,0.0671,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.631387,0.1563,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.667502,0.0361,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.771621,0.1041,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.871963,0.1003,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241023.983541,0.1116,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785241024.077213,0.0937,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
