t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786521035.241058,0.0000,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.340416,0.0994,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.442550,0.1021,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.557325,0.1148,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.646052,0.0887,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.745167,0.0991,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.843690,0.0985,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521035.949908,0.1062,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521036.046646,0.0967,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521036.144599,0.0980,-0.0,-0.0,-0.0000,0.0000,-0.2975,-0.8770,12.1457,,enc,
1786521036.245638,0.1010,-0.0,-19.83470916748047,-0.0582,-0.3372,-0.3027,-0.8744,12.1116,,enc,
1786521036.346272,0.1006,-0.0,-26.366273880004883,-0.0773,-0.4482,-0.3096,-0.8707,12.0665,,enc,
1786521036.447340,0.1011,-0.0,-25.820762634277344,-0.0757,-0.4389,-0.3161,-0.8667,12.0222,,enc,
1786521036.547236,0.0999,-0.0,-26.078969955444336,-0.0765,-0.4433,-0.3225,-0.8625,11.9779,,enc,
1786521036.653124,0.1059,-0.0,-25.63892936706543,-0.0752,-0.4358,-0.3289,-0.8578,11.9317,,enc,
1786521036.815773,0.1626,-0.0,-25.63892936706543,-0.0752,-0.4358,-0.3382,-0.8498,11.8609,,enc,
1786521036.852052,0.0363,-0.0,-27.36455535888672,-0.0802,-0.4651,-0.3404,-0.8479,11.8440,,enc,
1786521036.949250,0.0972,-0.0,-28.833791732788086,-0.0845,-0.4901,-0.3463,-0.8422,11.7963,,enc,
1786521037.089622,0.1404,-0.0,-28.911983489990234,-0.0848,-0.4914,-0.3542,-0.8333,11.7274,,enc,
1786521037.153538,0.0639,6.727945804595947,-28.18463706970215,-0.0629,-0.5934,-0.3568,-0.8302,11.6894,,enc,
1786521037.253063,0.0995,26.813589096069336,-26.997243881225586,-0.0005,-0.9147,-0.3568,-0.8302,11.5984,,enc,
1786521037.420803,0.1677,25.09341812133789,-27.457292556762695,-0.0069,-0.8933,-0.3573,-0.8292,11.4486,,enc,
1786521037.457882,0.0371,24.547908782958984,-26.91178321838379,-0.0069,-0.8747,-0.3574,-0.8289,11.4161,,enc,
1786521037.559988,0.1021,26.91178321838379,-27.09362030029297,-0.0005,-0.9180,-0.3575,-0.8289,11.3224,,enc,
1786521037.776633,0.2166,27.457292556762695,-27.09362030029297,0.0011,-0.9273,-0.3574,-0.8291,11.1215,,enc,
1786521037.798620,0.0220,27.09362030029297,-26.54810905456543,0.0016,-0.9118,-0.3574,-0.8291,11.1015,,enc,
1786521037.862868,0.0642,27.18090057373047,-27.36455535888672,-0.0005,-0.9272,-0.3574,-0.8291,11.0419,,enc,
1786521038.025199,0.1623,26.813589096069336,-26.62993621826172,0.0005,-0.9084,-0.3574,-0.8292,10.8944,,enc,
1786521038.060568,0.0354,26.91178321838379,-26.72994613647461,0.0005,-0.9118,-0.3574,-0.8292,10.8622,,enc,
1786521038.165839,0.1053,27.548208236694336,-25.38756561279297,0.0063,-0.8998,-0.3576,-0.8299,10.7675,,enc,
1786521038.369360,0.2035,30.003000259399414,-19.82016372680664,0.0299,-0.8469,-0.3600,-0.8354,10.5951,,enc,
1786521038.371672,0.0023,29.639328002929688,-20.183837890625,0.0277,-0.8469,-0.3600,-0.8355,10.5931,,enc,
1786521038.462718,0.0910,29.752065658569336,-20.2020206451416,0.0280,-0.8491,-0.3612,-0.8378,10.5158,,enc,
1786521038.562027,0.0993,29.639328002929688,-20.00200080871582,0.0283,-0.8438,-0.3627,-0.8401,10.4320,,enc,
1786521038.663720,0.1017,27.639127731323242,-5.636927127838135,0.0645,-0.5656,-0.3665,-0.8455,10.3745,,enc,
1786521038.765070,0.1014,26.54810905456543,-0.0,0.0778,-0.4513,-0.3714,-0.8517,10.3288,,enc,
1786521038.975379,0.2103,26.91178321838379,-0.0,0.0789,-0.4574,-0.3828,-0.8637,10.2326,,enc,
1786521039.007096,0.0317,26.62993621826172,-0.0,0.0781,-0.4527,-0.3846,-0.8654,10.2182,,enc,
1786521039.065859,0.0588,25.45709228515625,-0.0,0.0746,-0.4327,-0.3877,-0.8685,10.1928,,enc,
1786521039.167181,0.1013,24.00240135192871,-0.0,0.0704,-0.4080,-0.3931,-0.8732,10.1514,,enc,
1786521039.312390,0.1452,23.87511444091797,-0.0,0.0700,-0.4058,-0.4010,-0.8795,10.0925,,enc,
1786521039.372575,0.0602,23.638729095458984,-0.0,0.0693,-0.4018,-0.4044,-0.8820,10.0683,,enc,
1786521039.469663,0.0971,23.58702850341797,-0.0,0.0692,-0.4009,-0.4099,-0.8858,10.0294,,enc,
1786521039.641384,0.1717,21.48760223388672,-0.0,0.0630,-0.3652,-0.4192,-0.8914,9.9667,,enc,
1786521039.669821,0.0284,21.12029457092285,-0.0,0.0619,-0.3590,-0.4207,-0.8923,9.9565,,enc,
1786521039.771871,0.1020,21.27485466003418,-0.0,0.0624,-0.3616,-0.4263,-0.8953,9.9196,,enc,
1786521039.915579,0.1437,20.911184310913086,-0.0,0.0613,-0.3554,-0.4342,-0.8991,9.8685,,enc,
1786521039.983624,0.0680,19.28374481201172,-0.0,0.0565,-0.3278,-0.4378,-0.9007,9.8462,,enc,
1786521040.078635,0.0950,0.7273454666137695,-0.0,0.0021,-0.0124,-0.4379,-0.9008,9.8450,,enc,
1786521040.256201,0.1776,-0.0,-0.0,-0.0000,0.0000,-0.4379,-0.9008,9.8450,,enc,
1786521040.276487,0.0203,-0.0,-0.0,-0.0000,0.0000,-0.4379,-0.9008,9.8450,,enc,
1786521040.375520,0.0990,-0.0,-0.0,-0.0000,0.0000,-0.4379,-0.9008,9.8450,,enc,
