t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785503627.760236,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503627.812680,0.0524,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503627.854089,0.0414,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.022895,0.1688,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.102497,0.0796,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.271419,0.1689,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.307698,0.0363,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.559253,0.2516,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.770534,0.2113,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503628.814539,0.0440,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503629.025162,0.2106,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785503629.028333,0.0032,13.637727737426758,12.183035850524902,0.0757,-0.0247,0.0002,-0.0000,-0.0001
1785503629.096401,0.0681,27.728261947631836,25.567617416381836,0.1563,-0.0367,0.0109,-0.0000,-0.0026
1785503629.277466,0.1811,27.008047103881836,25.02745819091797,0.1526,-0.0337,0.0385,-0.0003,-0.0087
1785503629.359520,0.0821,26.91178321838379,24.911582946777344,0.1520,-0.0340,0.0510,-0.0004,-0.0115
1785503629.563313,0.2038,26.91178321838379,24.911582946777344,0.1520,-0.0340,0.0819,-0.0010,-0.0184
1785503630.030994,0.4677,30.789175033569336,25.567617416381836,0.1652,-0.0888,0.1591,-0.0056,-0.0599
1785503630.288135,0.2571,30.54850959777832,25.27525520324707,0.1637,-0.0896,0.2010,-0.0091,-0.0830
1785503630.336323,0.0482,30.54850959777832,25.63892936706543,0.1648,-0.0835,0.2089,-0.0098,-0.0870
1785503630.540697,0.2044,30.184837341308594,25.63892936706543,0.1637,-0.0773,0.2422,-0.0132,-0.1028
1785503630.579944,0.0392,29.888906478881836,25.567617416381836,0.1626,-0.0735,0.2486,-0.0139,-0.1056
1785503630.850647,0.2707,29.935720443725586,25.344350814819336,0.1621,-0.0780,0.2921,-0.0194,-0.1268
1785503630.882581,0.0319,32.7697639465332,25.20751190185547,0.1700,-0.1285,0.2975,-0.0201,-0.1309
1785503631.018105,0.1355,32.548709869384766,24.911582946777344,0.1685,-0.1298,0.3200,-0.0235,-0.1485
1785503631.057374,0.0393,32.4096565246582,25.02745819091797,0.1684,-0.1255,0.3266,-0.0245,-0.1534
1785503631.057416,0.0000,33.1298713684082,24.66735076904297,0.1695,-0.1438,0.3266,-0.0245,-0.1534
1785503631.057432,0.0000,34.185237884521484,24.18423843383789,0.1711,-0.1700,0.3266,-0.0245,-0.1534
1785503631.057448,0.0000,34.0301399230957,24.127187728881836,0.1705,-0.1683,0.3266,-0.0245,-0.1534
1785503631.057462,0.0000,34.0301399230957,24.30724334716797,0.1711,-0.1653,0.3266,-0.0245,-0.1534
1785503631.162097,0.1046,34.7503547668457,23.58702850341797,0.1711,-0.1898,0.3442,-0.0276,-0.1733
1785503631.224700,0.0626,35.094417572021484,23.275054931640625,0.1711,-0.2009,0.3548,-0.0296,-0.1858
1785503631.273346,0.0486,34.7503547668457,23.4069766998291,0.1705,-0.1928,0.3629,-0.0312,-0.1952
1785503631.358218,0.0849,34.73074722290039,23.456892013549805,0.1706,-0.1916,0.3770,-0.0342,-0.2115
1785503631.358269,0.0001,34.7503547668457,23.04686737060547,0.1695,-0.1989,0.3771,-0.0343,-0.2115
1785503631.452055,0.0938,34.548912048339844,23.093217849731445,0.1690,-0.1947,0.3925,-0.0379,-0.2298
1785503631.452444,0.0004,34.91258239746094,22.72954559326172,0.1690,-0.2071,0.3926,-0.0379,-0.2298
1785503631.494285,0.0418,34.9304084777832,22.50670623779297,0.1684,-0.2112,0.3994,-0.0395,-0.2387
1785503631.531754,0.0375,34.9304084777832,22.32665252685547,0.1679,-0.2142,0.4055,-0.0411,-0.2467
1785503631.588057,0.0563,34.91258239746094,22.365873336791992,0.1679,-0.2133,0.4146,-0.0435,-0.2587
1785503631.631086,0.0430,34.91258239746094,22.002201080322266,0.1669,-0.2195,0.4216,-0.0454,-0.2682
1785503631.659953,0.0289,34.91258239746094,21.820363998413086,0.1663,-0.2225,0.4262,-0.0467,-0.2746
1785503631.774662,0.1147,34.9304084777832,21.78649139404297,0.1663,-0.2234,0.4444,-0.0523,-0.3002
1785503631.871071,0.0964,34.91258239746094,21.638526916503906,0.1658,-0.2256,0.4596,-0.0574,-0.3220
1785503631.971378,0.1003,34.91258239746094,21.638526916503906,0.1658,-0.2256,0.4752,-0.0630,-0.3446
1785503632.055588,0.0842,34.91258239746094,21.27485466003418,0.1648,-0.2318,0.4882,-0.0680,-0.3641
1785503632.163490,0.1079,34.91258239746094,21.27485466003418,0.1648,-0.2318,0.5046,-0.0747,-0.3891
1785503632.258543,0.0951,31.821365356445312,19.274654388427734,0.1498,-0.2133,0.5177,-0.0804,-0.4094
1785503632.346935,0.0884,1.2728545665740967,1.0910181999206543,0.0069,-0.0031,0.5183,-0.0806,-0.4097
1785503632.449757,0.1028,-0.18183636665344238,-0.0,-0.0005,0.0031,0.5182,-0.0806,-0.4094
1785503632.540707,0.0910,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503632.643670,0.1030,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503632.741498,0.0978,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503632.960318,0.2188,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.055473,0.0952,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.118107,0.0626,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.189571,0.0715,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.256659,0.0671,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.417820,0.1612,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.454806,0.0370,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.596348,0.1415,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.685119,0.0888,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.753172,0.0681,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.882432,0.1293,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503633.990043,0.1076,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.095118,0.1051,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.192029,0.0969,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.279260,0.0872,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.379185,0.0999,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.656985,0.2778,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.721274,0.0643,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503634.912480,0.1912,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503635.028263,0.1158,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503635.171332,0.1431,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503635.486815,0.3155,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503635.699252,0.2124,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503635.780005,0.0808,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.037174,0.2572,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.398182,0.3610,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.399482,0.0013,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.597391,0.1979,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.670927,0.0735,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.808692,0.1378,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.956095,0.1474,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.956142,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503636.956154,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.027617,0.0715,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.160627,0.1330,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.227364,0.0667,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.861424,0.6341,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.861524,0.0001,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.861540,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.861553,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.861565,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.901876,0.0403,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.901913,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.901932,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.901958,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.902058,0.0001,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503637.946152,0.0441,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.138695,0.1925,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.229113,0.0904,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.346661,0.1175,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.421798,0.0751,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.497076,0.0753,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.699113,0.2020,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.915109,0.2160,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503638.983800,0.0687,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.135314,0.1515,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.273746,0.1384,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.338639,0.0649,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.468616,0.1300,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.557393,0.0888,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.676583,0.1192,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503639.747715,0.0711,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.236318,0.4886,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.236380,0.0001,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.236401,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730012,0.4936,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730068,0.0001,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730088,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730106,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730123,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730139,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730157,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.730173,0.0000,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.805610,0.0754,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503640.888760,0.0831,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503641.066800,0.1780,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503641.328348,0.2615,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503641.328407,0.0001,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
1785503641.519999,0.1916,-0.0,-0.0,-0.0000,0.0000,0.5182,-0.0806,-0.4094
