t,dt,left_rpm,right_rpm,v,w,x,y,theta
1785502363.938654,0.0000,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.038779,0.1001,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.138366,0.0996,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.240569,0.1022,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.341444,0.1009,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.442708,0.1013,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.546417,0.1037,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.651163,0.1047,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.755267,0.1041,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.850817,0.0956,-0.0,-0.0,-0.0000,0.0000,0.0000,0.0000,0.0000
1785502364.952828,0.1020,3.273054599761963,-0.0,0.0096,-0.0556,0.0010,-0.0000,-0.0057
1785502365.068198,0.1154,29.093820571899414,-0.0,0.0853,-0.4945,0.0108,-0.0006,-0.0627
1785502365.157773,0.0896,27.639127731323242,-0.0,0.0810,-0.4698,0.0180,-0.0014,-0.1048
1785502365.259328,0.1016,23.638729095458984,-0.0,0.0693,-0.4018,0.0250,-0.0024,-0.1456
1785502365.354483,0.0952,0.5509641766548157,-0.0,0.0016,-0.0094,0.0251,-0.0024,-0.1465
1785502365.462863,0.1084,-0.18005365133285522,-0.0,-0.0005,0.0031,0.0251,-0.0024,-0.1462
1785502365.556875,0.0940,-0.0,-0.0,-0.0000,0.0000,0.0251,-0.0024,-0.1462
1785502365.673147,0.1163,-0.0,-0.0,-0.0000,0.0000,0.0251,-0.0024,-0.1462
1785502365.805319,0.1322,-0.0,-0.0,-0.0000,0.0000,0.0251,-0.0024,-0.1462
1785502365.919365,0.1140,2.7275454998016357,-0.0,0.0080,-0.0464,0.0260,-0.0026,-0.1515
1785502365.962064,0.0427,29.457490921020508,-0.0,0.0864,-0.5007,0.0296,-0.0032,-0.1728
1785502366.061120,0.0991,28.00279998779297,-0.0,0.0821,-0.4760,0.0376,-0.0050,-0.2200
1785502366.260164,0.1990,27.639127731323242,-0.0,0.0810,-0.4698,0.0529,-0.0099,-0.3135
1785502366.267791,0.0076,27.457292556762695,-0.0,0.0805,-0.4667,0.0535,-0.0101,-0.3171
1785502366.510389,0.2426,27.36815643310547,-0.0,0.0802,-0.4652,0.0712,-0.0182,-0.4299
1785502366.516226,0.0058,27.275455474853516,-0.0,0.0800,-0.4636,0.0716,-0.0184,-0.4326
1785502366.601288,0.0851,27.36455535888672,-0.0,0.0802,-0.4651,0.0777,-0.0215,-0.4722
1785502366.779229,0.1779,27.731863021850586,-0.0,0.0813,-0.4714,0.0900,-0.0292,-0.5561
1785502366.781382,0.0022,28.00279998779297,-0.0,0.0821,-0.4760,0.0901,-0.0293,-0.5571
1785502367.012382,0.2310,28.833791732788086,7.529843807220459,0.1066,-0.3621,0.1099,-0.0440,-0.6408
1785502367.015081,0.0027,31.772266387939453,25.344350814819336,0.1675,-0.1093,0.1102,-0.0443,-0.6410
1785502367.066323,0.0512,32.00320053100586,24.366071701049805,0.1653,-0.1298,0.1170,-0.0494,-0.6477
1785502367.254723,0.1884,31.821365356445312,24.18423843383789,0.1642,-0.1298,0.1412,-0.0686,-0.6722
1785502367.304088,0.0494,31.639528274536133,24.00240135192871,0.1632,-0.1298,0.1475,-0.0737,-0.6786
1785502367.520019,0.2159,30.486684799194336,25.344350814819336,0.1637,-0.0874,0.1746,-0.0964,-0.6974
1785502367.522604,0.0026,30.184837341308594,25.820762634277344,0.1642,-0.0742,0.1749,-0.0967,-0.6976
1785502367.573067,0.0505,30.003000259399414,25.45709228515625,0.1626,-0.0773,0.1811,-0.1020,-0.7015
1785502367.764845,0.1918,30.003000259399414,25.45709228515625,0.1626,-0.0773,0.2047,-0.1225,-0.7163
1785502367.774107,0.0093,29.821165084838867,25.27525520324707,0.1616,-0.0773,0.2058,-0.1234,-0.7171
