t,dt,left_rpm,right_rpm,v,w,x,y,theta,imu_heading_deg,theta_src,lateral_m_s
1786459993.067743,0.0000,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.170080,0.1023,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.328557,0.1585,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.414088,0.0855,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.504646,0.0906,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.633081,0.1284,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.733106,0.1000,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.845234,0.1121,-0.0,-0.0,-0.0000,0.0000,5.5342,-11.5860,4.7092,,enc,
1786459993.953703,0.1085,-0.0,1.2855830192565918,0.0038,0.0219,5.5342,-11.5864,4.7116,,enc,
1786459994.052130,0.0984,-0.0,27.731863021850586,0.0813,0.4714,5.5346,-11.5944,4.7580,,enc,
1786459994.164735,0.1126,-0.0,27.731863021850586,0.0813,0.4714,5.5355,-11.6035,4.8111,,enc,
1786459994.295889,0.1312,-0.0,27.275455474853516,0.0800,0.4636,5.5372,-11.6138,4.8719,,enc,
1786459994.406394,0.1105,-0.0,27.36815643310547,0.0802,0.4652,5.5390,-11.6225,4.9233,,enc,
1786459994.603169,0.1968,-0.0,27.008047103881836,0.0792,0.4591,5.5437,-11.6374,5.0136,,enc,
1786459994.713734,0.1106,-0.0,26.91178321838379,0.0789,0.4574,5.5467,-11.6456,5.0642,,enc,
1786459994.783016,0.0693,-0.0,26.72994613647461,0.0784,0.4544,5.5487,-11.6506,5.0957,,enc,
1786459994.865211,0.0822,8.909981727600098,27.457292556762695,0.1066,0.3153,5.5522,-11.6586,5.1216,,enc,
1786459994.926232,0.0610,26.078969955444336,30.670339584350586,0.1664,0.0780,5.5563,-11.6679,5.1263,,enc,
1786459994.998070,0.0718,29.201101303100586,31.955923080444336,0.1793,0.0468,5.5615,-11.6797,5.1297,,enc,
1786459995.068703,0.0706,28.911983489990234,32.00320053100586,0.1786,0.0525,5.5666,-11.6912,5.1334,,enc,
